公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,10489337.0,9866871,11013654,6.30,-4.76,67212820,68513898,-1.89
1102,亞泥,7813300.0,7536507,7021279,3.67,11.28,51610988,46031514,12.12
1103,嘉泥,159044.0,130823,154429,21.57,2.98,1049488,1155356,-9.16
1104,環球水泥,398238.0,353927,350896,12.51,13.49,2779704,2665751,4.27
1108,幸福水泥,313198.0,271998,264328,15.14,18.48,2048651,1948573,5.13
1109,信大水泥,597879.0,658066,618024,-9.14,-3.25,4170048,3427582,21.66
1110,東泥,114772.0,114080,157245,0.60,-27.01,896369,949440,-5.58
1201,味全公司,1850126.0,1728231,1899582,7.05,-2.60,11624689,10714685,8.49
1203,味王公司,552813.0,574920,476840,-3.84,15.93,3630432,3439660,5.54
1210,大成長城,6491269.0,6144976,6059127,5.63,7.13,43729184,40857063,7.02
1213,大飲,64562.0,26098,87390,147.38,-26.12,290566,379590,-23.45
1215,卜蜂企業,1745142.0,1642385,1898449,6.25,-8.07,11930910,12118906,-1.55
1216,統一,40267551.0,38858021,38128163,3.62,5.61,262536471,252774152,3.86
1217,愛之味,482920.0,449669,478884,7.39,0.84,2535140,2453668,3.32
1218,泰山企業,861667.0,708068,741507,21.69,16.20,4581091,4638753,-1.24
1219,福壽實業,1038836.0,953087,946749,8.99,9.72,7050465,6797917,3.71
1220,台榮,277390.0,240545,225840,15.31,22.82,1583877,1430140,10.74
1225,福懋油,962604.0,887020,958539,8.52,0.42,6074065,6421646,-5.41
1227,佳格,2206623.0,2163646,1807245,1.98,22.09,15614243,14229241,9.73
1229,聯華實業,696166.0,676790,433298,2.86,60.66,3947671,2921600,35.12
1231,聯華食品,791473.0,692963,764187,14.21,3.57,4940699,4532114,9.01
1232,大統益,1423850.0,1336446,1432128,6.54,-0.57,9654741,9814218,-1.62
1233,天仁,181089.0,182526,169043,-0.78,7.12,1290363,1264999,2.00
1234,黑松,908599.0,685161,813423,32.61,11.70,5059826,5267598,-3.94
1235,興泰,3771.0,3092,3400,21.95,10.91,17142,16791,2.09
1236,宏亞食品,145523.0,97300,168979,49.56,-13.88,965977,1067886,-9.54
1702,南僑投控,1466893.0,1613905,1417054,-9.10,3.51,10334283,10347691,-0.12
1737,臺鹽,259498.0,229791,252460,12.92,2.78,1654467,1770753,-6.56
1301,台塑,17511155.0,18352747,19496181,-4.58,-10.18,127092518,136139632,-6.64
1303,南亞塑膠,24563010.0,21989854,28430574,11.70,-13.60,167334881,197104655,-15.10
