公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,10228796.0,10489337,10707234,-2.48,-4.46,77441616,79221132,-2.24
1102,亞泥,7203378.0,7813300,7180291,-7.80,0.32,58814366,53211805,10.52
1103,嘉泥,162363.0,159044,173642,2.08,-6.49,1211851,1328998,-8.81
1104,環球水泥,380445.0,398238,354949,-4.46,7.18,3160150,3020700,4.61
1108,幸福水泥,298541.0,313198,255469,-4.67,16.85,2347192,2204042,6.49
1109,信大水泥,727862.0,597879,598648,21.74,21.58,4897910,4026230,21.65
1110,東泥,120521.0,114772,98994,5.00,21.74,1016890,1048434,-3.00
1201,味全公司,2010851.0,1850126,1927383,8.68,4.33,13635540,12642068,7.85
1203,味王公司,573610.0,552813,571897,3.76,0.29,4204042,4011557,4.79
1210,大成長城,6927433.0,6491269,6280981,6.71,10.29,50656618,47138044,7.46
1213,大飲,50864.0,64562,85863,-21.21,-40.76,341430,465453,-26.64
1215,卜蜂企業,1835593.0,1745142,1918613,5.18,-4.32,13766503,14037519,-1.93
1216,統一,41324567.0,40267551,39945627,2.62,3.45,303861038,292719779,3.80
1217,愛之味,637949.0,482920,668101,32.10,-4.51,3173089,3121769,1.64
1218,泰山企業,833163.0,861667,795209,-3.30,4.77,5414254,5433962,-0.36
1219,福壽實業,999824.0,1038836,981360,-3.75,1.88,8050290,7779276,3.48
1220,台榮,261871.0,277390,273493,-5.59,-4.24,1845748,1703633,8.34
1225,福懋油,927042.0,962604,985283,-3.69,-5.91,7001107,7406929,-5.47
1227,佳格,3045171.0,2206623,2232603,38.00,36.39,18659414,16461845,13.34
1229,聯華實業,1240355.0,696166,434439,78.16,185.50,5188026,3356039,54.58
1231,聯華食品,789158.0,791473,780853,-0.29,1.06,5729857,5312967,7.84
1232,大統益,1503403.0,1423850,1441081,5.58,4.32,11158144,11255299,-0.86
1233,天仁,198165.0,181089,196867,9.42,0.65,1488528,1461866,1.82
1234,黑松,942073.0,908599,969168,3.68,-2.79,6001899,6236766,-3.76
1235,興泰,6382.0,3771,27967,69.23,-77.18,23524,44758,-47.44
1236,宏亞食品,170372.0,145523,164105,17.07,3.81,1136349,1231991,-7.76
1702,南僑投控,1544160.0,1466893,1560429,5.26,-1.04,11878443,11908120,-0.24
1737,臺鹽,258901.0,259498,265445,-0.23,-2.46,1913368,2036198,-6.03
1301,台塑,16949937.0,17511155,19797535,-3.20,-14.38,144042455,155937166,-7.62
1303,南亞塑膠,23781522.0,24563010,29664186,-3.18,-19.83,191116403,226768841,-15.72
1304,台聚,4735910.0,4769245,5093455,-0.69,-7.01,37500001,40757803,-7.99
1305,華夏,1381919.0,1320523,1133349,4.64,21.93,10284758,10245181,0.38
1307,三芳化工,941448.0,882453,893616,6.68,5.35,6815251,6232552,9.34
1308,亞聚,528587.0,554435,525019,-4.66,0.67,4478212,4008648,11.71
1309,台達化工,1432733.0,1461710,1924519,-1.98,-25.55,11976264,14724754,-18.66
1310,台苯,1075426.0,1137754,1294233,-5.47,-16.90,8462421,10539350,-19.70
1312,國喬石化,1621653.0,1842861,2311477,-12.00,-29.84,14011790,16953287,-17.35
1313,聯成,4947933.0,5581587,4977365,-11.35,-0.59,41795787,39383914,6.12
1314,中石化,2850755.0,2522461,3622886,13.01,-21.31,21808473,26251378,-16.92
1315,達新工業,237353.0,260865,265681,-9.01,-10.66,1616449,1705517,-5.22
1321,大洋,429246.0,417127,413740,2.90,3.74,3086528,3246437,-4.92
1323,永裕,295515.0,308168,319818,-4.10,-7.59,2353083,2457789,-4.26
1324,地球工業,92566.0,90435,102001,2.35,-9.24,766879,763962,0.38
1325,�琱j,52577.0,63019,81972,-16.56,-35.85,535427,588193,-8.97
1326,台化,25985347.0,27457611,36401692,-5.36,-28.61,226741849,269349677,-15.81
4306,炎洲,1434164.0,1386702,1755164,3.42,-18.28,10764088,13470951,-20.09
1402,遠東新,20288593.0,21072415,20938571,-3.71,-3.10,169985006,145719142,16.65
1409,新纖,3357589.0,3386398,3866882,-0.85,-13.17,26863837,28489761,-5.70
1410,南染,35635.0,33496,42748,6.38,-16.63,269456,351118,-23.25
1413,宏洲纖維,214577.0,279551,303730,-23.24,-29.35,2184375,2391487,-8.66
1414,東和,61659.0,80951,83006,-23.83,-25.71,570739,668966,-14.68
1416,廣豐,20267.0,22929,23718,-11.60,-14.55,184980,163988,12.80
1417,嘉裕,113433.0,117389,84836,-3.36,33.70,930656,971697,-4.22
1418,東華,13287.0,19541,23738,-32.00,-44.02,174787,535815,-67.37
1419,新紡,166996.0,126294,153048,32.22,9.11,1162539,978873,18.76
