公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,9866871.0,10903967,10757628,-9.51,-8.28,56723483,57500244,-1.35
1102,亞泥,7536507.0,8435765,7549925,-10.66,-0.17,43797688,39010235,12.27
1103,嘉泥,130823.0,146479,172927,-10.68,-24.34,890444,1000927,-11.03
1104,環球水泥,353927.0,421251,337575,-15.98,4.84,2381467,2314855,2.87
1108,幸福水泥,271998.0,305274,276298,-10.90,-1.55,1735453,1684245,3.04
1109,信大水泥,658066.0,800417,577408,-17.78,13.96,3572169,2809558,27.14
1110,東泥,114080.0,132249,119405,-13.73,-4.45,781597,792195,-1.33
1201,味全公司,1728231.0,1809938,1720797,-4.51,0.43,9774563,8815103,10.88
1203,味王公司,574920.0,531311,498245,8.20,15.38,3077619,2962820,3.87
1210,大成長城,6144976.0,6390612,5925107,-3.84,3.71,37237915,34797936,7.01
1213,大飲,26098.0,38938,59092,-32.97,-55.83,226004,292200,-22.65
1215,卜蜂企業,1642385.0,1768590,1730988,-7.13,-5.11,10185768,10220457,-0.33
1216,統一,38858021.0,38716214,37048407,0.36,4.88,222268920,214645989,3.55
1217,愛之味,449669.0,318595,377313,41.14,19.17,2052220,1974784,3.92
1218,泰山企業,708068.0,645123,658400,9.75,7.54,3719424,3897246,-4.56
1219,福壽實業,953087.0,1049658,920626,-9.20,3.52,6011629,5851496,2.73
1220,台榮,240545.0,242992,213619,-1.00,12.60,1306487,1204300,8.48
1225,福懋油,887020.0,857478,865271,3.44,2.51,5111461,5463107,-6.43
1227,佳格,2163646.0,2130222,1879768,1.56,15.10,13407620,12421996,7.93
1229,聯華實業,676790.0,729961,418537,-7.28,61.70,3251505,2488302,30.67
1231,聯華食品,692963.0,695419,612393,-0.35,13.15,4149226,3767927,10.11
1232,大統益,1336446.0,1406554,1444955,-4.98,-7.50,8230892,8382090,-1.80
1233,天仁,182526.0,191640,178847,-4.75,2.05,1109274,1095956,1.21
