公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1533,車王電,166357.0,251189,194006,-33.77,-14.25,417546,456427,-8.51
1536,和大工業,417342.0,559963,507990,-25.46,-17.84,977305,1137419,-14.07
1568,倉佑,130094.0,156877,181049,-17.07,-28.14,286970,457156,-37.22
1587,吉茂,84588.0,117220,81732,-27.83,3.49,201808,191156,5.57
2201,裕隆汽車,5371135.0,8609332,6255429,-37.61,-14.13,13980467,16372889,-14.61
2204,中華汽車,2216314.0,3679923,2416404,-39.77,-8.28,5896237,7233839,-18.49
2206,三陽工業,2052791.0,2935584,1889746,-30.07,8.62,4988375,4800542,3.91
2207,和泰汽車,9332395.0,17207809,11611313,-45.76,-19.62,26540204,29044450,-8.62
2227,裕隆日產,1895719.0,4180393,1656298,-54.65,14.45,6076112,5970122,1.77
2228,劍麟,323503.0,388825,267990,-16.79,20.71,712328,639540,11.38
2231,為升,266504.0,360019,335714,-25.97,-20.61,626523,643143,-2.58
2497,怡利電子,143315.0,173902,144691,-17.58,-0.95,317217,340588,-6.86
3346,麗清,339473.0,323915,324800,4.80,4.51,663388,809340,-18.03
4551,智伸科,308192.0,412156,306985,-25.22,0.39,720348,716817,0.49
6288,聯嘉光電,330476.0,309049,300432,6.93,10.00,639526,527561,21.22
6605,帝寶工業,1133959.0,1511501,1239980,-24.97,-8.55,2645460,2727024,-2.99
2302,麗正,26156.0,46445,24742,-43.68,5.71,72601,74795,-2.93
2303,聯電,10461743.0,11795477,11909283,-11.30,-12.15,22257220,25084945,-11.27
2329,華泰電子,1169628.0,1354012,856467,-13.61,36.56,2523640,1963190,28.54
2330,台積電,60889055.0,78093827,64640562,-22.03,-5.80,138982882,144381234,-3.73
2337,旺宏,1804688.0,2259997,2716789,-20.14,-33.57,4064685,5808144,-30.01
2338,光罩,229533.0,248830,158588,-7.75,44.73,478363,371344,28.81
2342,茂矽,118481.0,134645,135950,-12.00,-12.84,253126,286437,-11.62
2344,華邦電,3275804.0,3876792,3828924,-15.50,-14.44,7152596,7974602,-10.30
2351,順德,623787.0,856640,676105,-27.18,-7.73,1480427,1554897,-4.78
2363,矽統科技,10439.0,16306,13596,-35.98,-23.22,26745,25233,5.99
2369,菱生,283373.0,358362,394984,-20.92,-28.25,641735,880162,-27.08
2379,瑞昱,3677246.0,4662891,3065291,-21.13,19.96,8340137,6930349,20.34
2388,威盛電子,327422.0,428559,280763,-23.59,16.61,755981,635986,18.86
2401,凌陽科技,321163.0,391621,345775,-17.99,-7.11,712784,854811,-16.61
2408,南亞科,3394786.0,4258227,5927141,-20.27,-42.72,7653013,12074778,-36.61
2434,統懋,10074.0,16803,24313,-40.04,-58.56,26877,52735,-49.03
2436,偉詮電,126742.0,196273,150556,-35.42,-15.81,323015,375603,-14.00
2441,超豐電子,711072.0,892838,865047,-20.35,-17.79,1603910,1950321,-17.76
2449,京元電子,1610631.0,1809595,1406863,-10.99,14.48,3420226,2943574,16.19
2451,創見資訊,1086761.0,1371138,1316123,-20.74,-17.42,2457899,3030921,-18.90
2454,聯發科,14161182.0,16242046,12708432,-12.81,11.43,30403228,29543583,2.90
2458,義隆,508929.0,761885,469985,-33.20,8.28,1270814,1174473,8.20
2481,強茂,550115.0,741702,803770,-25.83,-31.55,1291817,1865836,-30.76
3006,晶豪科技,826070.0,899594,815314,-8.17,1.31,1725664,1723858,0.10
3014,聯陽,187431.0,308903,197620,-39.32,-5.15,496334,543313,-8.64
3016,嘉晶,332903.0,352816,309250,-5.64,7.64,685719,615462,11.41
3034,聯詠,4616286.0,5118504,3011177,-9.81,53.30,9734790,6681536,45.69
3035,智原,329052.0,364946,323779,-9.83,1.62,693998,680599,1.96
3041,揚智,177801.0,241897,147489,-26.49,20.55,419698,386124,8.69
3054,立萬利,5803.0,9423,18658,-38.41,-68.89,15227,29465,-48.32
3094,聯傑國際,15078.0,15716,17139,-4.05,-12.02,30793,38910,-20.86
3189,景碩科技,1160504.0,2122169,1397628,-45.31,-16.96,3282673,3454264,-4.96
3257,虹冠電,34247.0,37641,67417,-9.01,-49.20,71888,143850,-50.02
3413,京鼎,428549.0,634046,651420,-32.41,-34.21,1062595,1383351,-23.18
3443,創意電子,766888.0,888790,906174,-13.71,-15.37,1655678,1688588,-1.94
3530,晶相光,63736.0,114379,86309,-44.27,-26.15,178115,275935,-35.45
3532,台勝科,1006606.0,1369020,1255242,-26.47,-19.80,2375626,2519449,-5.70
3536,誠創科技,43942.0,98546,52790,-55.40,-16.76,142488,196608,-27.52
3545,敦泰,431829.0,482253,523300,-10.45,-17.47,914082,1448940,-36.91
3583,辛耘,234649.0,393980,158994,-40.44,47.58,628629,442372,42.10
3588,通嘉,72125.0,84191,70197,-14.33,2.74,156316,152832,2.27
3686,達能,20136.0,20829,69989,-3.32,-71.22,40965,190267,-78.46
3711,日月光投控,26239644.0,33055773,0,-20.62,,59295417,0,
4919,新唐科技,584512.0,638922,627177,-8.51,-6.80,1223434,1419548,-13.81
4952,凌通科技,142677.0,153530,156419,-7.06,-8.78,296209,358799,-17.44
4961,天鈺,513960.0,800275,395488,-35.77,29.95,1314235,1042422,26.07
4967,十銓,484879.0,587106,444002,-17.41,9.20,1071985,960032,11.66
4968,立積,115054.0,160171,205246,-28.16,-43.94,275225,435265,-36.76
5269,祥碩科技,217775.0,503056,185019,-56.70,17.70,720831,430304,67.51
5285,界霖,316802.0,400327,353715,-20.86,-10.43,717129,798338,-10.17
5305,敦南科技,732063.0,927793,751660,-21.09,-2.60,1659856,1688442,-1.69
5471,松翰科技,155136.0,210483,147159,-26.29,5.42,365619,379476,-3.65
6202,盛群,241563.0,414955,236977,-41.78,1.93,656518,677004,-3.02
6239,力成,4340940.0,5172683,4869148,-16.07,-10.84,9513623,10260258,-7.27
6243,迅杰,31321.0,44863,31745,-30.18,-1.33,76184,57838,31.71
6257,矽格,576134.0,614340,692282,-6.21,-16.77,1190474,1408053,-15.45
6271,同欣電子,474562.0,592535,497257,-19.90,-4.56,1067097,1096541,-2.68
6531,愛普,177844.0,279320,363607,-36.32,-51.08,457164,751752,-39.18
6533,晶心科,29798.0,26582,11588,12.09,157.14,56380,22363,152.11
6552,易華電,230310.0,250121,94503,-7.92,143.70,480431,231934,107.14
8016,矽創電子,657782.0,920272,462190,-28.52,42.31,1578054,1243427,26.91
8028,昇陽半導體,178842.0,199796,150522,-10.48,18.81,378638,307233,23.24
8081,致新,299924.0,418383,262384,-28.31,14.30,718307,640855,12.08
8110,華東,503077.0,601835,688149,-16.40,-26.89,1104911,1464860,-24.57
8131,福懋科技,672459.0,713245,648833,-5.71,3.64,1385704,1330672,4.13
8150,南茂科技,1328454.0,1549924,1210391,-14.28,9.75,2878378,2547355,12.99
8261,富鼎,130034.0,184420,145155,-29.49,-10.41,314454,345307,-8.93
8271,宇瞻科技,506644.0,804305,624138,-37.00,-18.82,1310949,1631955,-19.67
2301,光寶科技,10873799.0,15607442,13037374,-30.32,-16.59,26481241,29541954,-10.36
2305,全友電腦,24536.0,37460,23686,-34.50,3.58,61996,73330,-15.45
2324,仁寶電腦,54351462.0,70122332,57941906,-22.49,-6.19,124473794,117736560,5.72
2331,精英,1445564.0,2145214,1415054,-32.61,2.15,3590778,3826366,-6.15
2352,佳世達,10780710.0,14601804,10222823,-26.16,5.45,25382513,22506534,12.77
2353,宏��,14468978.0,16658134,15254671,-13.14,-5.15,31127112,32127964,-3.11
2356,英業達,26016571.0,45473110,28878962,-42.78,-9.91,71489681,65313466,9.45
2357,華碩,21533981.0,26162960,25130858,-17.69,-14.31,47696940,53777210,-11.30
2362,藍天,1417270.0,1578546,1658481,-10.21,-14.54,2995816,3431546,-12.69
2364,倫飛電腦,33993.0,54983,34173,-38.17,-0.52,88976,129256,-31.16
2365,昆盈企業,76185.0,145041,109895,-47.47,-30.67,221226,315567,-29.89
2376,技嘉,3815556.0,5362092,4533556,-28.84,-15.83,9177648,11678216,-21.41
2377,微星科技,8246480.0,10833587,9222929,-23.88,-10.58,19080067,20053520,-4.85
2380,虹光精密,101014.0,139927,109364,-27.80,-7.63,240980,328860,-26.72
2382,廣達,62862271.0,84925212,64293676,-25.97,-2.22,147787483,149078034,-0.86
2387,精元電腦,559041.0,830477,500083,-32.68,11.78,1389518,1400355,-0.77
2395,研華,3570476.0,4176768,2965569,-14.51,20.39,7747244,6965656,11.22
2397,友通資訊,355333.0,565588,335416,-37.17,5.93,920921,739582,24.51
2399,映泰,150793.0,196743,265962,-23.35,-43.30,347536,671330,-48.23
2405,浩鑫,234203.0,254483,285290,-7.96,-17.90,488686,629028,-22.31
2417,圓剛,199696.0,227705,152419,-12.30,31.01,427401,320273,33.44
2424,隴華電子,3.0,402,325,-99.25,-99.07,405,1279,-68.33
2425,承啟,221417.0,234709,226885,-5.66,-2.41,456126,511844,-10.88
2442,新美齊,248715.0,406646,117843,-38.83,111.05,655361,358570,82.77
2465,麗臺科技,298990.0,250378,140535,19.41,112.75,549368,435210,26.23
3002,歐格電子,19589.0,77696,21798,-74.78,-10.13,97285,81108,19.94
3005,神基科技,1686754.0,2060166,1502522,-18.12,12.26,3746920,3521880,6.38
3013,晟銘電子,308351.0,594112,258759,-48.09,19.16,902463,676100,33.48
3017,奇鋐科技,2001941.0,2440604,1933028,-17.97,3.56,4442545,4151527,7.00
3022,威強電,316824.0,619704,365584,-48.87,-13.33,936528,838141,11.73
3046,建��,115961.0,172778,83430,-32.88,38.99,288738,206840,39.59
3057,喬鼎資訊,89037.0,103204,127093,-13.72,-29.94,192241,287671,-33.17
3060,銘異,433258.0,541798,501958,-20.03,-13.68,975056,1084185,-10.06
3231,緯創,56850489.0,75735545,67361724,-24.93,-15.60,132586034,146762964,-9.65
3416,融程電訊,118998.0,147162,112129,-19.13,6.12,266159,248837,6.96
3494,誠研科技,76324.0,77903,56239,-2.02,35.71,154227,150541,2.44
3515,華擎,850043.0,999864,749608,-14.98,13.39,1849930,1663657,11.19
3701,大眾投控,490323.0,659533,314170,-25.65,56.06,1149856,846290,35.87
3706,神達,2289035.0,2716847,2502756,-15.74,-8.53,5005882,5337134,-6.20
3712,永崴,515030.0,832750,0,-38.15,,1347780,0,
4916,事欣科,483406.0,590124,628829,-18.08,-23.12,1073530,1195770,-10.22
4938,和碩,81645017.0,122634116,76834329,-33.42,6.26,204279133,197897477,3.22
5258,虹堡,180407.0,261508,180954,-31.01,-0.30,441915,379929,16.31
6117,迎廣科技,102347.0,184754,136059,-44.60,-24.77,287101,343062,-16.31
6128,上福全球,525162.0,591608,550543,-11.23,-4.61,1116770,1014680,10.06
6166,凌華科技,663589.0,964575,596806,-31.20,11.19,1628164,1378456,18.11
6172,互億科技,32428.0,52070,27645,-37.72,17.30,84498,53479,58.00
6206,飛捷,358154.0,557205,464119,-35.72,-22.83,915359,1073138,-14.70
6230,超眾,489102.0,736645,523002,-33.60,-6.48,1225747,1109202,10.50
6235,華孚科技,233542.0,274192,230254,-14.82,1.42,507734,571515,-11.15
6277,宏正科,359941.0,380964,385670,-5.51,-6.67,740906,816604,-9.26
6414,樺漢科技,5077168.0,6296908,3219844,-19.37,57.68,11374076,6891261,65.05
6579,研揚科技,344296.0,518224,313178,-33.56,9.93,862520,772060,11.71
6669,緯穎,11155782.0,15242621,10478056,-26.81,6.46,26398403,22388310,17.91
8114,振樺電子,649108.0,803990,637788,-19.26,1.77,1453098,1458788,-0.39
8163,達方電子,1085504.0,1536781,1114556,-29.36,-2.60,2622285,2501607,4.82
8210,勤誠興業,385262.0,614789,308589,-37.33,24.84,1000051,840307,19.01
9912,偉聯,50883.0,41343,56920,23.07,-10.60,92226,121774,-24.26
2323,中環,515837.0,681826,520746,-24.34,-0.94,1197663,1231523,-2.74
2340,光磊,290474.0,426725,388619,-31.92,-25.25,717200,842312,-14.85
2349,錸德科技,535540.0,785609,680960,-31.83,-21.35,1321149,1491382,-11.41
2374,佳能,450083.0,767231,485179,-41.33,-7.23,1217314,1295639,-6.04
2393,億光電子,1325420.0,1990418,1769238,-33.40,-25.08,3315838,4160124,-20.29
2406,國碩科技,493350.0,892636,688233,-44.73,-28.31,1385986,1839746,-24.66
2409,友達,20782924.0,21532821,22681194,-3.48,-8.36,42315745,48890982,-13.44
2426,鼎元,154068.0,214060,207966,-28.02,-25.91,368128,499694,-26.32
2438,翔耀實業,31853.0,35734,35827,-10.86,-11.09,67586,75005,-9.89
2448,晶電,1060852.0,1267945,1496118,-16.33,-29.09,2328797,3371960,-30.93
