公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 898 家
1101,台泥,57500.25,27.93,23.70,25.11,18.39,
1102,亞泥,39009.09,23.92,19.80,25.22,19.95,
1103,嘉泥,1000.93,14.47,-2.18,21.22,44.12,
1104,環球水泥,2314.86,11.46,3.09,20.64,17.64,
1108,幸福水泥,1684.25,3.70,-1.94,-2.01,-0.48,
1109,信大水泥,2809.56,29.27,22.50,23.03,13.96,
1110,東泥,792.19,8.58,2.08,6.71,7.00,
1201,味全公司,8828.72,30.19,1.42,-1.50,-0.58,
1203,味王公司,2946.09,32.76,15.01,16.67,11.26,
1210,大成長城,34984.17,14.25,3.19,4.54,3.73,
1213,大飲,292.23,10.39,0.39,1.21,0.69,
1215,卜蜂企業,10220.46,13.20,5.62,5.59,4.02,
1216,統一,214645.78,34.10,6.92,9.45,7.07,
1217,愛之味,1982.51,33.01,2.23,-0.07,0.42,
1218,泰山企業,3846.85,17.79,1.19,5.94,5.61,
1219,福壽實業,5850.33,8.66,1.32,1.36,1.03,
1220,台榮,1203.98,13.74,5.10,6.33,5.51,
1225,福懋油,5463.11,8.81,3.65,4.14,3.33,
1227,佳格,12422.00,29.62,10.09,10.98,8.82,
1229,聯華實業,2488.30,16.45,5.70,49.34,47.80,
1231,聯華食品,3767.88,20.48,5.81,6.69,5.37,
1232,大統益,8382.09,10.61,6.28,6.53,5.24,
1233,天仁,1086.76,57.91,8.67,10.78,8.68,
1234,黑松,4454.18,24.24,0.66,7.49,6.48,
1235,興泰,13.38,-0.55,-60.86,207.04,211.87,
1236,宏亞食品,898.91,24.40,-2.51,-1.89,-1.94,
1256,鮮活果汁-KY,1634.34,33.88,17.31,18.33,13.58,
1262,綠悅-KY,2137.65,2.25,-7.29,-9.91,-8.61,
1301,台塑,116643.45,17.89,13.07,29.33,24.89,
1303,南亞塑膠,168674.08,16.28,10.60,20.93,17.71,
1304,台聚,30332.48,12.24,5.98,7.23,5.50,
1305,華夏,7822.56,22.62,15.08,15.55,12.81,
1307,三芳化工,4457.73,21.61,3.85,4.77,3.68,
1308,亞聚,2961.40,4.78,1.22,6.21,5.45,
1309,台達化工,10788.14,7.81,4.12,4.68,3.54,
1310,台苯,8076.16,14.46,11.39,11.64,8.84,
1312,國喬石化,12291.30,17.73,12.18,20.09,14.98,
1313,聯成,30044.45,6.79,3.04,2.61,1.93,
1314,中石化,18942.43,13.96,9.06,12.39,12.25,
1315,達新工業,1175.38,13.97,-2.65,-2.56,-1.47,
1316,上曜,1184.60,33.54,17.42,18.34,18.57,
1319,東陽,12051.48,22.58,8.24,11.23,9.07,
1321,大洋,2447.22,3.76,-3.68,-1.25,-1.38,
1323,永裕,1809.54,24.16,12.66,13.54,9.46,
1324,地球工業,567.59,16.51,0.12,1.20,0.19,
1325,恒大,447.14,11.55,5.32,8.73,7.07,
1326,台化,198653.50,15.07,11.39,18.06,15.38,
1337,再生-KY,716.77,-11.83,-40.17,-38.86,-39.96,
1338,廣華-KY,4036.38,24.47,9.60,9.97,7.78,
1339,昭輝,1431.88,27.16,13.67,21.57,17.38,
1340,勝悅-KY,1239.62,22.85,14.57,17.13,14.12,
1402,遠東新,105396.47,21.85,8.06,12.31,10.26,
1410,南染,265.88,39.08,22.39,25.96,21.37,
1413,宏洲纖維,1766.78,8.63,6.30,6.45,7.47,
1414,東和,505.15,9.34,1.34,2.81,3.09,
1416,廣豐,117.68,99.39,-33.61,59.69,45.29,
1417,嘉裕,781.11,15.05,-25.18,-9.01,-11.16,
1418,東華,434.92,-7.76,-19.09,-22.07,-22.08,
1419,新紡,723.27,20.80,-7.48,-0.21,-0.91,
1423,利華羊毛,425.51,8.01,3.69,13.37,12.25,
1432,大魯閣實業,409.78,80.08,-32.12,-31.13,-31.45,
1434,福懋興業,22467.68,12.73,6.56,11.17,7.97,
1435,中福國際,16.60,94.40,-11.35,38.15,38.15,
1436,華友聯,1027.71,29.09,19.74,16.93,16.12,
1437,勤益投控,308.26,74.26,57.44,58.49,47.48,
1438,裕豐,0.00,-1000.00,-111700.00,-69575.00,-69575.00,
1439,中和羊毛,145.36,3.93,-9.46,-10.66,-11.54,
1440,南紡,12481.67,13.43,4.80,7.33,5.78,
1441,大東紡織,869.13,0.07,-13.21,137.31,129.17,
1442,名軒,739.19,31.16,18.04,18.42,16.40,
1443,立益紡織,597.89,1.95,-12.61,-2.90,-3.42,
1444,力麗,6091.55,8.28,2.41,6.91,5.82,
1445,大宇紡織,804.05,4.70,-3.23,-2.83,-2.01,
1446,宏和,217.99,4.47,-17.90,-11.41,-12.43,
1447,力鵬,9457.41,5.19,1.37,4.42,3.87,
1449,佳和實業,1184.68,1.33,-14.48,-16.40,-16.33,
1451,年興紡織,4033.51,8.68,1.43,5.20,3.02,
1452,宏益,1003.96,15.68,9.75,10.92,8.88,
1453,大將,20.72,4.07,-93.99,1697.79,1700.31,
1454,台富,962.69,9.55,1.89,2.23,2.71,
1455,集盛,8097.41,5.22,1.92,3.57,3.13,
1456,怡華,204.34,21.67,3.13,-9.92,-12.03,
1457,宜進,2744.33,12.46,6.81,20.94,19.16,
1459,聯發紡織,1785.40,2.62,-2.57,8.38,7.64,
1460,宏遠,4527.36,17.87,2.66,3.42,2.57,
1463,強盛染整,610.34,40.29,28.26,35.49,34.58,
1464,得力實業,4175.93,15.54,2.50,4.05,2.93,
1465,偉全實業,800.53,7.91,-3.88,-0.95,-1.16,
1466,聚隆,1982.21,4.76,-1.13,-1.66,-1.63,
1467,南緯實業,3299.60,16.76,-3.04,-2.79,-4.06,
1468,昶和纖維,459.72,19.81,0.73,4.39,4.39,
1470,大統新創,369.69,20.49,4.92,5.32,4.19,
1471,首利,605.39,-7.48,-30.17,-27.21,-27.14,
1472,三洋紡,299.14,-4.62,-17.21,-17.45,-16.86,
1473,台南企業,4142.07,10.73,-3.41,-2.22,-2.90,
1474,弘裕,1808.40,12.34,3.61,4.53,3.81,
1475,本盟光電,29.89,-59.46,-98.04,-86.56,-86.96,
1476,儒鴻,13501.58,27.94,18.63,19.54,15.56,
1477,聚陽實業,10196.33,19.60,7.47,7.12,5.45,
1503,士電,12106.06,20.45,7.82,9.74,6.11,
1504,東元電機,25045.48,24.44,7.13,8.99,7.18,
1506,正道,624.73,9.90,-8.92,-3.95,-3.38,
1507,永大機電,7903.10,23.86,7.99,7.80,5.68,
1512,瑞利,1460.76,9.23,-0.81,-2.46,-2.46,
1513,中興電,5433.20,19.96,5.31,6.49,5.54,
1514,亞力電機,2037.86,15.24,3.87,5.44,4.69,
1515,力山,2049.67,15.59,0.88,4.31,3.36,
1516,川飛,515.02,3.10,1.88,1.96,1.96,
1517,利奇機械,1428.69,8.20,-5.76,8.99,6.42,
