公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 876 家
2022,聚亨,5723.52,8.04,0.83,-1.08,-2.02,
2023,燁輝,53320.13,9.49,3.55,3.24,2.44,
2024,志聯工業,1062.64,15.56,9.97,8.74,7.09,
2025,千興,2604.96,0.84,-0.66,-0.85,-0.85,
2027,大成鋼,46852.10,16.77,6.77,3.84,2.54,
2028,威致鋼鐵,7044.50,8.62,6.96,6.27,6.15,
2029,盛餘,10367.33,13.38,7.95,7.62,6.00,
2030,彰源,9295.53,12.18,6.12,4.99,3.77,
2031,新光鋼,6450.48,13.52,13.93,13.89,11.98,
2032,新鋼工業,2038.24,3.70,0.13,0.24,0.16,
2033,佳大世界,572.34,14.73,4.55,4.09,3.20,
2034,允強,14731.40,10.25,5.79,5.27,4.41,
2038,海光企業,3445.32,0.54,-3.18,-2.84,-3.41,
2049,上銀科技,15016.53,34.45,14.18,14.04,11.08,
2059,川湖,2997.45,53.75,40.70,28.46,19.60,
2062,橋椿,4524.18,19.18,6.77,6.60,4.32,
2069,運錩,6449.77,7.64,2.84,1.97,1.65,
2101,南港輪胎,8744.13,18.88,8.40,7.87,5.98,
2102,泰豐輪胎,4348.90,13.64,-6.19,-15.26,-15.05,
2103,台橡,24671.14,9.72,3.41,2.98,1.94,
2104,國際中橡,14842.98,28.20,19.01,20.03,13.20,
2105,正新,85189.74,22.95,7.77,7.92,5.56,
2106,建大,22672.73,20.08,4.45,2.79,1.50,
2107,厚生,1286.52,30.33,17.38,15.35,14.79,
2108,南帝化工,8421.65,17.62,8.37,7.87,6.41,
2109,華豐橡膠,4380.94,19.25,2.73,4.00,2.43,
2114,鑫永銓,1152.20,34.35,25.60,22.46,18.64,
2115,六暉-KY,1981.02,25.94,15.23,14.86,10.93,
2201,裕隆汽車,69284.63,21.35,2.90,5.09,3.57,
2204,中華汽車,30940.58,18.42,6.99,12.66,11.54,
2206,三陽工業,24425.41,18.62,2.97,3.43,2.93,
2208,台船公司,12711.78,-37.68,-40.53,-41.42,-37.74,
2227,裕隆日產,26623.18,18.23,6.81,22.46,18.65,
2228,劍麟,3275.71,29.44,15.42,16.37,10.95,
2231,為升,2634.84,52.05,35.64,31.25,27.49,
2236,百達-KY,1531.39,29.43,10.73,10.94,7.89,
2239,英利-KY,13171.94,19.62,9.99,8.64,6.79,
2243,宏旭-KY,1638.37,11.45,3.28,2.29,1.18,
2301,光寶科技,160404.49,12.79,3.78,0.18,0.21,
2302,麗正,317.81,32.87,-7.18,-9.32,-9.30,
2303,聯電,112654.03,18.43,4.14,5.37,4.83,
2305,全友電腦,454.03,31.21,-26.82,177.41,124.53,
2308,台達電,162220.47,27.24,8.62,10.71,8.54,
2312,金寶電子,87773.35,6.24,1.28,1.17,0.91,
2313,華通,37018.59,14.63,10.05,8.74,6.29,
2314,台揚科技,5599.90,16.07,3.06,3.15,2.57,
2316,楠梓電,4015.90,6.81,-1.15,-1.22,-1.32,
2317,鴻海,2976347.95,6.63,2.69,2.93,2.14,
2321,東訊,2464.75,10.37,-1.95,-1.64,-1.64,
2323,中環,6779.73,0.52,-15.07,-11.03,-11.94,
2324,仁寶電腦,632816.47,3.73,1.07,0.87,0.63,
2327,國巨,22607.12,27.78,18.63,19.01,16.18,
2328,廣宇,18879.80,8.48,3.56,4.03,3.07,
2329,華泰電子,10322.72,1.54,-4.89,-4.49,-4.01,
2330,台積電,699876.96,50.88,39.53,40.64,34.84,
2331,精英,22343.99,11.51,2.03,2.92,2.03,
2332,友訊科技,14308.92,26.40,-3.30,-1.83,-1.85,
2337,旺宏,23640.24,34.06,13.10,12.50,12.44,
2338,光罩,931.29,20.80,4.54,-1.89,-3.48,
2340,光磊,4353.28,31.08,15.07,14.96,12.48,
2342,茂矽,1229.38,16.48,4.24,-2.73,-2.73,
2344,華邦電,34386.14,32.95,12.86,14.13,11.56,
2345,智邦科技,26259.44,19.84,9.08,9.32,7.37,
2347,聯強國際,257239.53,3.60,1.30,2.16,1.77,
2348,海悅,497.15,38.47,23.95,23.27,23.08,
2349,錸德科技,7118.03,4.37,-13.77,-14.49,-16.10,
2351,順德,7161.45,19.85,11.69,10.70,8.43,
2352,佳世達,99742.00,11.89,2.50,4.75,4.12,
2353,宏碁,170235.61,10.70,1.40,1.20,1.03,
2354,鴻準,87671.88,8.44,5.68,6.58,6.10,
2355,敬鵬,18119.21,14.42,9.25,10.11,6.94,
2356,英業達,334834.97,5.48,1.88,1.93,1.28,
2357,華碩,320010.74,13.62,2.81,4.61,3.70,
2358,廷鑫,1524.72,4.81,1.28,2.08,1.73,
2359,所羅門,3012.45,20.35,5.93,4.36,2.92,
2360,致茂電子,9686.59,49.49,20.56,21.09,17.12,
2362,藍天,15281.24,23.43,3.66,6.94,3.31,
2363,矽統科技,156.30,45.90,-148.40,-77.47,-77.60,
2364,倫飛電腦,449.65,22.70,-20.89,-23.91,-23.92,
2365,昆盈企業,1857.95,21.42,-1.38,1.94,1.88,
2367,燿華,12007.31,12.09,1.62,-0.71,-0.29,
2368,金像電,14253.86,9.56,-0.55,-1.71,-1.82,
2369,菱生,4534.69,11.39,2.44,3.57,2.52,
2371,大同,55730.54,16.72,-0.16,4.74,3.64,
2373,震旦行,10822.53,42.67,8.59,12.73,10.79,
2374,佳能,8613.87,13.07,1.56,2.92,2.47,
2375,智寶,2239.20,18.71,6.79,13.69,12.04,
2376,技嘉,44350.39,16.63,3.74,5.16,4.31,
2377,微星科技,76897.51,14.25,5.35,5.71,4.74,
2379,瑞昱,30886.42,43.33,8.39,8.98,8.40,
2380,虹光精密,1434.02,23.55,-24.46,-26.98,-27.09,
2382,廣達,739464.40,4.57,1.82,2.06,1.47,
2383,台光電子,17889.06,25.53,17.91,18.02,12.45,
2385,群光電子,57120.59,17.22,6.23,7.10,5.83,
2387,精元電腦,8748.15,16.38,5.79,4.92,2.55,
2388,威盛電子,3386.89,26.99,-30.30,1.48,1.18,
2390,云辰,533.09,12.87,-29.91,-31.83,-31.39,
2392,正崴,64243.35,10.16,0.80,1.98,1.55,
2393,億光電子,20612.66,23.05,6.99,6.24,4.87,
2395,研華,32615.14,39.32,15.28,17.23,13.88,
2397,友通資訊,2904.34,31.80,15.96,15.02,11.73,
2399,映泰,2629.24,13.92,3.74,3.95,4.00,
2401,凌陽科技,5157.07,39.81,0.94,11.37,10.25,
2402,毅嘉科技,5247.21,2.15,-4.30,-5.60,-5.77,
2404,漢唐,9921.14,16.78,12.29,13.64,10.51,
2405,浩鑫,3619.11,11.23,-4.48,-1.75,-1.51,
2406,國碩科技,9045.27,2.63,-18.68,-18.90,-19.75,
2408,南亞科,38149.44,42.79,32.15,52.02,48.04,
2409,友達,260364.65,19.15,12.84,13.10,10.22,
2412,中華電,166629.44,36.77,21.77,22.36,18.68,
2413,環科,2711.30,15.76,0.65,-0.28,-0.94,
2414,精技電腦,12491.53,9.53,2.19,2.23,1.84,
2415,錩新,1674.66,27.42,10.33,9.08,5.54,
2417,圓剛,1884.63,51.54,-1.07,0.07,-0.84,
2419,仲琦,6415.30,24.23,7.14,6.62,4.52,
2420,新巨,2199.74,37.95,20.47,17.65,15.11,
2421,建準電機,8201.66,22.78,7.41,8.10,6.38,
2423,固緯,1694.41,49.20,12.61,17.21,14.05,
2424,隴華電子,22.65,31.98,-44.36,-149.92,-147.47,
2425,承啟,4331.48,1.83,0.30,-1.06,-1.08,
2426,鼎元,2319.25,23.58,11.24,3.52,3.52,
2427,三商電腦,1852.15,31.67,3.03,4.41,3.62,
2428,興勤電子,4322.48,34.37,20.88,26.77,18.99,
2429,銘旺科,841.70,12.32,2.10,0.49,-5.52,
2430,燦坤實業,15463.13,15.32,2.53,1.81,1.37,
2431,聯昌電子,1899.21,12.57,0.75,0.80,0.73,
2433,互盛電,2747.22,30.60,11.06,19.24,17.27,
2434,統懋,184.68,-18.83,-36.11,-39.70,-42.18,
2436,偉詮電,1740.98,25.07,4.83,11.12,9.72,
2438,翔耀實業,378.50,36.83,12.77,6.75,1.96,
2439,美律,16368.24,18.33,10.29,11.00,9.01,
2440,太空梭,2240.04,8.58,3.17,3.48,3.17,
2441,超豐電子,8823.35,29.02,25.19,25.02,21.10,
2442,新美齊,1231.37,16.19,-7.63,-5.27,-4.51,
2443,新利虹,541.06,-9.75,-38.07,-38.01,-38.11,
2444,兆勁,1164.16,14.81,2.88,1.67,1.67,
2448,晶電,19333.27,21.60,9.77,8.72,6.84,
2449,京元電子,14884.29,30.47,18.96,16.03,12.12,
2450,神腦,26590.64,12.36,2.11,2.80,2.38,
2451,創見資訊,16147.23,26.58,19.35,15.91,12.76,
2453,凌群,3035.82,23.47,0.92,2.15,1.70,
2454,聯發科,177812.92,35.04,4.80,9.28,7.82,
2455,全新,1556.33,34.47,23.62,22.22,18.32,
2456,奇力新,9330.34,26.57,14.52,14.02,12.05,
2457,飛宏科技,8714.09,12.63,-0.89,2.21,1.28,
2458,義隆,5615.94,44.90,18.28,17.50,14.15,
2459,敦吉,7886.74,12.17,5.71,6.07,4.83,
2460,建通精密,2757.54,10.15,-0.06,-1.07,-1.17,
2461,光群雷射,3778.41,25.06,8.37,5.76,3.84,
2462,良得電,3168.28,10.00,1.16,0.98,0.96,
2464,盟立,8686.77,15.38,4.76,3.16,2.66,
2465,麗臺科技,2152.03,14.12,-1.79,3.48,3.30,
2466,冠西電,1660.97,10.70,-1.75,-1.40,-1.51,
2467,志聖工業,3669.21,34.21,11.72,10.48,8.72,
2468,華經,955.81,14.07,2.75,3.30,2.64,
2471,資通,453.16,30.00,0.35,0.84,-1.41,
2472,立隆電子,5222.96,24.14,12.10,14.66,11.18,
2474,可成科技,60502.03,45.80,35.64,34.46,22.45,
2476,鉅祥,3814.17,29.15,14.37,12.98,8.58,
2477,美隆電,2722.84,26.20,12.42,13.75,9.81,
2478,大毅,2935.89,16.65,5.97,5.29,4.33,
2480,敦陽科技,3148.15,25.27,8.09,8.75,7.41,
2481,強茂,8807.27,22.66,8.09,11.46,9.37,
