公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 901 家
1101,台泥,98311.78,19.24,14.20,14.06,10.50,
1102,亞泥,64899.25,15.67,11.46,13.10,10.27,
1103,嘉泥,2095.61,13.47,-10.95,51.61,46.64,
1104,環球水泥,4405.38,12.21,3.41,32.35,31.54,
1108,幸福水泥,3434.45,3.74,-2.92,-3.47,-3.00,
1109,信大水泥,5375.88,23.36,15.90,16.70,13.21,
1110,東泥,1716.73,-2.52,-7.99,3.73,3.40,
1201,味全公司,17749.33,31.29,1.88,6.08,5.03,
1203,味王公司,6195.17,32.61,16.99,16.77,12.05,
1210,大成長城,75931.01,13.48,3.97,4.40,3.49,
1213,大飲,649.52,10.54,-0.17,0.67,0.31,
1215,卜蜂企業,19865.00,16.75,8.79,9.24,7.44,
1216,統一,399860.95,33.20,5.59,19.13,15.00,
1217,愛之味,4146.49,31.46,-0.12,3.66,3.50,
1218,泰山企業,7681.80,17.34,-0.47,4.48,4.13,
1219,福壽實業,10822.79,8.28,0.10,0.53,0.51,
1220,台榮,2366.61,11.62,3.14,4.45,3.56,
1225,福懋油,10757.31,9.63,4.36,3.89,2.98,
1227,佳格,26477.92,27.95,10.56,10.37,8.35,
1229,聯華實業,4845.30,21.16,9.95,62.98,61.07,
1231,聯華食品,7031.02,20.56,6.19,7.04,5.79,
1232,大統益,16884.34,9.98,6.01,5.95,4.93,
1233,天仁,2130.35,56.91,9.07,9.90,8.23,
1234,黑松,9090.12,25.69,1.87,7.08,5.98,
1235,興泰,76.88,6.24,-26.49,446.68,399.16,
1236,宏亞食品,1878.97,26.76,0.01,0.49,0.27,
1256,鮮活果汁-KY,2917.18,29.92,15.41,15.34,9.84,
1262,綠悅-KY,6296.24,22.15,15.62,16.05,12.16,
1301,台塑,206709.76,16.19,10.61,26.56,23.89,
1303,南亞塑膠,306139.95,16.32,9.75,20.51,17.63,
1304,台聚,58133.94,12.26,5.81,6.00,4.66,
1305,華夏,14701.74,18.89,11.23,10.99,9.11,
1307,三芳化工,9855.36,29.46,12.57,11.65,9.14,
1308,亞聚,6404.47,10.88,7.35,10.24,8.83,
1309,台達化工,19821.04,7.23,3.41,3.42,2.53,
1310,台苯,14750.83,11.45,8.70,8.45,6.67,
1312,國喬石化,23350.97,16.25,10.64,17.91,14.76,
1313,聯成,50600.13,7.63,3.94,5.80,4.63,
1314,中石化,33335.97,16.11,10.75,18.89,18.26,
1315,達新工業,2654.71,16.71,1.57,6.24,6.34,
1316,上曜,2159.74,29.35,16.71,17.68,15.10,
1319,東陽,24452.88,24.23,10.22,12.29,9.80,
1321,大洋,4467.05,5.64,-1.85,-0.23,-1.82,
1323,永裕,3241.64,23.64,12.49,12.55,9.68,
1324,地球工業,1227.15,15.22,-1.36,7.05,4.91,
1325,恒大,865.21,13.66,7.56,6.11,4.59,
1326,台化,358421.47,14.84,10.86,18.61,16.75,
1337,再生-KY,4588.27,15.07,4.69,5.71,3.97,
1338,廣華-KY,7967.36,26.41,11.56,12.25,9.31,
1339,昭輝,2837.28,30.96,17.91,12.11,9.30,
1340,勝悅-KY,3406.50,34.39,28.65,29.41,24.52,
1341,富林-KY,2762.41,21.65,12.60,11.98,9.24,
1402,遠東新,217846.95,22.81,7.08,7.75,6.52,
1410,南染,533.25,37.76,23.12,23.42,19.13,
1413,宏洲纖維,3144.14,6.05,3.89,3.71,3.71,
1414,東和,793.07,5.32,-5.34,11.52,11.30,
1416,廣豐,2246.11,30.59,5.72,10.94,9.92,
1417,嘉裕,2032.13,14.04,-24.97,-22.57,-22.58,
1418,東華,1637.70,-9.52,-17.72,-19.41,-19.64,
1419,新紡,1487.95,19.22,-8.46,92.85,82.83,
1423,利華羊毛,681.37,5.74,0.64,7.34,6.74,
1432,大魯閣實業,1163.99,90.52,-15.28,-15.25,-15.31,
1434,福懋興業,40705.66,12.62,6.05,12.96,11.69,
1435,中福國際,34.85,92.69,-7.88,2.25,2.06,
1436,華友聯,2228.14,24.63,15.20,12.43,10.72,
1437,勤益投控,548.33,69.94,51.67,64.33,56.56,
1438,裕豐,0.04,-58.14,-18451.16,-12951.16,-12951.16,
1439,中和羊毛,263.22,5.27,-5.76,-2.61,-2.61,
1440,南紡,21063.13,11.63,1.49,3.55,3.25,
1441,大東紡織,1622.58,-0.46,-11.95,-15.15,-16.88,
1442,名軒,2931.14,26.51,17.46,18.44,19.15,
1443,立益紡織,1166.18,9.89,-3.25,-19.59,-25.66,
1444,力麗,11104.53,7.35,0.91,-0.16,-0.43,
1445,大宇紡織,1609.97,6.20,-1.54,0.45,0.77,
1446,宏和,527.24,13.13,-8.36,-7.46,-7.68,
1447,力鵬,16591.71,5.36,1.09,-1.51,-1.12,
1449,佳和實業,2667.10,7.77,-5.83,3.26,2.15,
1451,年興紡織,9037.00,7.05,1.16,3.78,3.11,
1452,宏益,2114.11,16.77,10.96,12.24,10.20,
1453,大將,64.14,-3.99,-65.19,-39.92,-41.88,
1454,台富,1890.00,8.49,1.08,1.21,1.00,
1455,集盛,14974.97,5.59,2.14,2.73,2.41,
1456,怡華,1008.70,15.04,6.16,4.09,3.81,
1457,宜進,5055.94,10.85,4.48,15.76,14.02,
1459,聯發紡織,3406.41,1.26,-3.44,2.66,2.81,
1460,宏遠,8847.21,19.62,4.00,3.43,2.43,
1463,強盛染整,1720.64,48.11,35.84,41.40,39.78,
1464,得力實業,7933.43,18.82,5.50,5.68,5.23,
1465,偉全實業,1874.16,10.17,-0.84,1.72,1.85,
1466,聚隆,3966.17,6.83,0.67,-0.36,-0.07,
1467,南緯實業,7259.35,19.64,1.06,0.33,-0.97,
1468,昶和纖維,599.47,7.66,-17.33,-17.13,-17.13,
1470,大統新創,701.06,21.45,5.62,7.00,5.97,
1471,首利,1270.46,-5.75,-27.47,-35.87,-37.02,
1472,三洋紡,756.93,3.12,-5.27,-6.15,-6.07,
1473,台南企業,8328.55,12.57,0.18,1.09,0.59,
1474,弘裕,3361.58,13.67,5.16,4.29,3.21,
1475,本盟光電,123.60,-18.89,-44.35,-48.08,-48.12,
1476,儒鴻,24231.97,27.51,17.33,15.53,12.60,
1477,聚陽實業,22375.00,19.33,7.90,7.23,5.79,
1503,士電,22214.29,19.17,6.26,8.21,6.23,
1504,東元電機,50942.52,23.94,6.86,8.55,6.96,
1506,正道,1362.96,16.14,-1.67,-4.61,-0.88,
1507,永大機電,16752.22,26.59,8.83,9.25,6.91,
1512,瑞利,2540.32,0.98,-15.96,-21.77,-22.12,
1513,中興電,11397.46,16.01,3.66,5.14,4.51,
1514,亞力電機,3784.29,14.64,3.05,3.44,3.09,
1515,力山,5315.65,22.37,7.50,6.78,5.09,
1516,川飛,781.42,2.88,1.18,2.14,2.14,
1517,利奇機械,2813.64,13.91,-0.22,2.22,-1.75,
1519,華城電機,5869.69,12.58,2.67,2.15,1.56,
1521,大億,6197.39,17.45,8.13,9.46,8.06,
1522,堤維西,16063.68,21.82,3.31,5.44,3.98,
1524,耿鼎企業,2638.33,20.81,10.66,7.89,6.24,
1525,江申工業,1169.10,8.97,0.71,52.33,46.24,
1526,日馳,1339.71,27.33,16.03,12.36,10.13,
1527,鑽全,3836.26,29.04,20.14,6.17,5.32,
1528,恩德,4465.13,29.92,2.52,2.77,2.13,
1529,樂士,766.19,9.57,6.11,8.10,7.91,
1530,亞崴機電,4232.26,20.38,7.29,6.54,4.08,
