公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 860 家
1101,台泥,21179.77,14.16,9.17,7.91,5.49,
1102,亞泥,12512.70,7.45,3.53,0.96,1.17,
1103,嘉泥,598.48,22.15,4.06,-14.79,-18.02,
1104,環球水泥,1100.66,12.63,4.33,26.02,25.37,
1108,幸福水泥,894.90,9.03,3.15,2.57,2.08,
1109,信大水泥,970.00,14.40,5.60,5.41,4.58,
1110,東泥,352.67,-2.87,-8.83,10.90,6.61,
1201,味全公司,3597.80,26.14,-3.51,6.52,5.19,
1203,味王公司,1544.11,30.99,16.68,14.96,10.63,
1210,大成長城,18781.08,13.42,4.28,4.10,3.36,
1213,大飲,163.18,13.10,4.26,3.93,3.25,
1215,卜蜂企業,4782.34,17.97,10.42,10.62,8.80,
1216,統一,96114.61,33.36,5.83,8.50,7.07,
1217,愛之味,933.73,29.83,-0.93,-2.20,-2.45,
1218,泰山企業,1790.17,15.41,-0.91,0.08,0.07,
1219,福壽實業,2835.81,8.16,-0.02,0.58,0.10,
1220,台榮,496.34,13.05,3.54,2.17,1.19,
1225,福懋油,2631.20,9.72,4.61,4.60,3.80,
1227,佳格,6491.92,28.83,12.09,11.28,9.14,
1229,聯華實業,1152.03,22.71,11.12,41.17,39.60,
1231,聯華食品,1762.90,20.44,5.32,5.07,4.04,
1232,大統益,4388.70,9.06,5.44,4.75,3.94,
1233,天仁,546.59,57.83,11.22,10.00,8.29,
1234,黑松,2209.64,20.24,-1.99,4.96,4.01,
1235,興泰,10.61,-58.06,-110.38,384.81,363.19,
1236,宏亞食品,447.77,21.74,-0.52,-0.20,-1.61,
1256,鮮活果汁-KY,621.42,29.24,12.84,12.63,6.93,
1262,綠悅-KY,2152.91,35.58,30.33,30.64,22.83,
1301,台塑,47796.00,16.86,11.48,22.51,20.69,
1303,南亞塑膠,72676.15,17.94,11.66,17.21,14.54,
1304,台聚,13902.57,14.39,8.51,6.62,5.17,
1305,華夏,3691.27,23.11,15.67,13.80,11.38,
1307,三芳化工,2701.62,34.02,18.25,15.08,12.37,
1308,亞聚,1531.13,15.07,11.43,11.36,9.76,
1309,台達化工,4518.60,7.40,4.01,2.58,2.02,
1310,台苯,3518.79,16.84,13.90,14.93,12.17,
1312,國喬石化,5392.77,17.76,11.75,17.23,14.72,
1313,聯成,10609.58,8.17,4.13,3.86,2.89,
1314,中石化,9016.75,22.02,17.68,14.84,14.68,
1315,達新工業,695.28,20.11,5.26,-1.05,-0.16,
1316,上曜,158.47,14.73,-22.89,-22.72,-22.72,
1319,東陽,5998.65,25.69,11.85,10.79,8.79,
1321,大洋,1059.12,2.67,-5.15,-6.57,-6.57,
1323,永裕,708.73,23.73,11.92,10.16,8.01,
1324,地球工業,286.29,15.71,0.23,35.76,26.81,
1325,恒大,227.75,15.97,10.10,0.70,0.55,
1326,台化,89259.53,16.95,13.17,16.01,14.25,
1337,再生-KY,969.13,16.75,4.81,8.58,6.77,
1338,廣華-KY,1806.65,27.69,12.67,13.47,10.04,
1339,昭輝,682.47,32.92,18.24,-2.20,-2.43,
1340,勝悅-KY,519.50,27.15,20.93,22.06,18.02,
1402,遠東新,50383.42,24.42,7.45,7.06,5.70,
1410,南染,132.78,35.93,20.41,17.90,13.97,
1413,宏洲纖維,751.68,1.69,-0.63,-0.97,-0.97,
1414,東和,233.57,9.07,0.45,-1.31,-1.47,
1416,廣豐,1065.41,27.11,8.64,10.91,13.24,
1417,嘉裕,630.72,14.32,-19.84,-22.18,-22.20,
1418,東華,427.25,-3.33,-12.10,-13.38,-13.72,
1419,新紡,351.30,15.48,-10.10,-16.94,-15.47,
1423,利華羊毛,142.55,2.43,-3.60,5.22,4.18,
1432,大魯閣實業,306.51,89.41,-10.92,-27.76,-27.76,
1434,福懋興業,10254.27,13.89,7.51,6.19,4.97,
1435,中福國際,8.39,92.54,-10.06,-12.80,-12.80,
1436,華友聯,406.68,22.57,14.22,9.63,7.42,
1437,勤益投控,173.46,74.31,60.40,88.15,77.38,
1438,裕豐,0.01,-557.14,-32157.14,-22185.71,-22185.71,
1439,中和羊毛,76.76,3.66,-6.09,-2.55,-2.50,
1440,南紡,5114.99,12.90,2.39,2.58,1.85,
