公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 893 家
1101,台泥,45893.85,18.01,13.08,12.54,9.23,
1102,亞泥,28810.79,12.07,8.24,8.99,7.27,
1103,嘉泥,1058.88,16.82,-4.82,-5.88,-8.06,
1104,環球水泥,2159.76,12.55,3.85,34.30,30.83,
1108,幸福水泥,1762.46,9.14,2.85,2.32,1.61,
1109,信大水泥,2317.81,19.00,10.37,11.17,9.77,
1110,東泥,684.52,-4.07,-9.56,1.28,-1.47,
1201,味全公司,7910.36,28.26,-0.97,3.38,2.02,
1203,味王公司,3076.03,31.09,15.37,15.38,11.03,
1210,大成長城,36741.07,13.17,3.73,3.67,2.73,
1213,大飲,295.03,10.82,-0.36,0.48,-0.11,
1215,卜蜂企業,9578.53,17.17,9.40,9.85,7.80,
1216,統一,196218.29,33.30,6.08,8.66,7.10,
1217,愛之味,1864.10,31.23,-1.91,-2.75,-2.94,
1218,泰山企業,3627.79,16.40,-2.87,-0.07,-0.09,
1219,福壽實業,5344.33,7.31,-0.79,-0.29,-0.59,
1220,台榮,1065.18,12.02,2.98,3.94,3.25,
1225,福懋油,5271.57,9.78,4.41,4.62,3.59,
1227,佳格,11996.01,27.73,9.41,8.85,6.76,
1229,聯華實業,2356.89,22.24,10.61,47.00,45.06,
1231,聯華食品,3392.05,20.01,4.77,5.21,4.18,
1232,大統益,8449.07,9.44,5.61,5.41,4.47,
1233,天仁,1058.28,57.26,9.86,9.72,8.07,
1234,黑松,4379.52,22.99,-0.86,4.92,3.64,
1235,興泰,24.87,-27.33,-80.07,558.36,414.86,
1236,宏亞食品,789.84,20.47,-5.36,-4.86,-5.12,
1256,鮮活果汁-KY,1422.17,30.13,15.41,15.56,9.79,
1262,綠悅-KY,3751.43,29.53,23.65,24.02,17.86,
1301,台塑,100161.52,16.36,11.01,22.39,19.57,
1303,南亞塑膠,146781.73,16.55,9.66,16.36,13.33,
1304,台聚,27864.78,12.77,6.24,5.82,4.38,
1305,華夏,7314.60,19.89,12.17,11.43,9.27,
1307,三芳化工,5057.42,32.56,16.02,14.70,11.59,
1308,亞聚,3097.14,12.86,9.19,12.36,10.49,
1309,台達化工,9137.30,4.74,0.86,0.53,0.29,
1310,台苯,7100.33,11.23,8.30,9.32,7.30,
1312,國喬石化,10965.32,13.97,8.30,12.60,9.36,
1313,聯成,23081.48,6.43,2.49,3.07,2.36,
1314,中石化,16500.50,15.99,10.84,27.25,26.15,
1315,達新工業,1368.02,18.42,2.87,0.38,0.35,
1316,上曜,325.66,14.33,-23.05,-21.83,-21.86,
1319,東陽,11962.03,25.22,11.21,12.35,9.51,
1321,大洋,2136.41,3.36,-4.34,-4.33,-5.07,
1323,永裕,1517.63,23.30,12.10,11.23,8.55,
1324,地球工業,578.23,15.56,-2.11,15.49,10.71,
1325,恒大,439.28,13.85,7.70,4.07,2.73,
1326,台化,171427.95,13.60,9.64,15.41,13.66,
1337,再生-KY,2264.76,16.64,5.99,7.68,5.68,
1338,廣華-KY,3668.62,27.04,12.24,12.94,9.54,
1339,昭輝,1363.10,31.84,18.95,10.04,7.09,
1340,勝悅-KY,1507.94,31.96,25.91,26.72,22.42,
1402,遠東新,103290.00,23.09,6.39,7.18,5.77,
1410,南染,273.27,37.89,22.99,22.75,18.48,
1413,宏洲纖維,1578.48,3.87,1.60,1.40,1.40,
1414,東和,437.77,10.55,1.36,0.78,0.71,
1416,廣豐,2041.70,26.80,7.73,8.95,9.69,
1417,嘉裕,1111.02,15.69,-21.14,-19.80,-19.81,
