公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 901 家
1101,台泥,56723.49,27.87,22.53,26.34,20.91,
1102,亞泥,43805.59,29.07,24.81,33.48,26.10,
1103,嘉泥,890.41,13.32,-12.88,34.25,88.54,
1104,環球水泥,2381.47,9.70,1.23,20.04,19.29,
1108,幸福水泥,1735.45,5.58,-0.68,-1.36,-0.90,
1109,信大水泥,3572.17,32.28,26.04,25.85,16.27,
1110,東泥,781.60,4.37,-0.83,4.07,3.20,
1201,味全公司,9773.39,30.25,1.69,14.10,11.95,
1203,味王公司,3052.94,31.65,14.69,15.46,11.79,
1210,大成長城,37169.74,14.74,4.06,4.33,3.26,
1215,卜蜂企業,10185.77,15.28,8.10,8.10,6.37,
1216,統一,222271.66,34.91,7.64,9.38,7.38,
1217,愛之味,2052.80,32.41,3.43,1.54,1.25,
1218,泰山企業,3616.88,17.96,1.24,7.18,6.71,
1219,福壽實業,5978.79,8.26,0.58,0.42,0.12,
1220,台榮,1307.14,13.10,4.34,4.31,3.34,
1225,福懋油,5111.46,9.36,3.77,4.21,3.37,
1227,佳格,13407.62,30.49,12.96,13.49,10.56,
1229,聯華實業,3253.33,16.20,4.43,42.48,39.51,
1231,聯華食品,4149.23,20.49,5.15,6.27,4.92,
1232,大統益,8230.89,12.30,7.58,7.93,6.33,
1233,天仁,1099.70,58.05,8.29,9.65,7.81,
1234,黑松,4151.20,23.76,2.21,8.76,7.76,
1235,興泰,13.37,8.31,-41.36,-398.82,-399.03,
1236,宏亞食品,820.82,22.70,-6.06,-4.82,-5.31,
1256,鮮活果汁-KY,1729.87,38.13,21.10,22.00,15.96,
1262,綠悅-KY,1827.26,-6.12,-15.92,-16.04,-13.69,
1301,台塑,109581.36,17.13,11.76,19.99,16.88,
1303,南亞塑膠,142771.87,9.36,3.21,8.95,7.57,
1304,台聚,27994.61,11.21,4.38,6.12,4.60,
1305,華夏,7582.28,10.61,2.82,3.81,3.15,
1307,三芳化工,4991.35,21.56,5.29,6.01,4.02,
1308,亞聚,3395.31,12.48,9.02,12.16,10.04,
1309,台達化工,9081.90,8.04,3.93,4.57,3.36,
1310,台苯,6255.61,14.80,11.55,11.49,10.15,
1312,國喬石化,10546.33,15.27,9.17,16.67,12.65,
1313,聯成,31299.77,1.65,-2.07,-2.25,-1.72,
1314,中石化,16435.26,7.45,1.59,6.09,5.79,
1315,達新工業,1117.70,17.41,-0.07,43.66,43.44,
1316,上曜,268.29,11.36,-41.74,-35.87,-22.17,
1319,東陽,10590.97,24.76,9.78,11.88,9.08,
1321,大洋,2226.57,4.99,-2.30,0.40,0.40,
1323,永裕,1747.44,22.68,11.48,12.04,9.54,
1324,地球工業,583.88,16.51,0.49,0.71,0.08,
1325,恒大,419.83,10.69,4.29,6.61,5.19,
1326,台化,173298.89,12.45,7.96,11.69,9.75,
1337,再生-KY,637.26,-29.42,-62.08,-59.89,-59.89,
1338,廣華-KY,3528.12,25.73,7.35,7.58,5.16,
1339,昭輝,1297.38,28.80,16.49,25.71,20.79,
1340,勝悅-KY,648.15,-9.43,-21.09,-16.39,-16.92,
1341,富林-KY,1414.16,20.20,10.97,10.47,8.00,
1402,遠東新,128646.50,18.23,6.00,7.68,6.59,
1410,南染,200.32,35.89,17.96,21.32,17.31,
1413,宏洲纖維,1690.25,6.73,3.84,4.42,4.40,
1414,東和,428.13,2.39,-5.91,-5.57,-4.39,
1416,廣豐,143.85,86.10,-10.98,5.41,3.88,
1417,嘉裕,699.84,24.67,-15.18,-4.36,-5.79,
1418,東華,141.96,-30.37,-56.05,-65.92,-65.97,
1419,新紡,869.25,28.97,2.76,5.56,5.44,
1423,利華羊毛,264.49,1.39,-5.06,0.60,0.45,
1432,大魯閣實業,600.87,83.83,-15.54,-21.76,-21.75,
1434,福懋興業,24089.60,12.45,6.24,14.80,12.37,
1435,中福國際,10.69,93.81,-80.26,126.35,126.35,
1436,華友聯,622.57,26.68,14.89,10.08,7.99,
1437,勤益投控,322.69,73.25,52.14,64.28,237.67,
1438,裕豐,0.01,-633.33,-71166.67,650.00,650.00,
1439,中和羊毛,106.29,1.11,-90.56,966.20,862.28,
1440,南紡,11619.98,6.52,-1.94,0.91,1.19,
1441,大東紡織,735.59,-6.22,-20.67,-22.64,-23.03,
1442,名軒,306.16,8.71,-10.43,-9.14,-11.57,
1443,立益紡織,343.66,25.51,14.25,6.81,6.32,
1444,力麗,6257.65,8.22,2.56,6.92,5.65,
1445,大宇紡織,723.24,6.30,-2.36,-2.01,-1.30,
1446,宏和,224.88,11.47,-10.78,-6.78,-8.55,
1447,力鵬,7757.93,3.00,-1.42,2.40,2.13,
1449,佳和實業,1184.45,11.47,-2.21,1.95,-1.08,
1451,年興紡織,4312.56,5.24,-2.01,0.34,-0.11,
1452,宏益,1025.10,16.69,10.77,10.83,8.50,
1453,大將,0.50,46.02,-2897.81,4068.53,1448.61,
1454,台富,983.92,11.80,3.33,3.87,3.33,
1455,集盛,6548.34,1.51,-1.98,0.03,0.16,
1456,怡華,469.89,13.93,6.11,0.72,0.02,
1457,宜進,2651.52,11.90,22.01,18.85,17.59,
1459,聯發紡織,1751.19,0.81,-4.00,0.67,0.59,
1460,宏遠,4258.76,19.33,2.20,2.40,0.45,
1463,強盛染整,283.19,22.46,7.64,26.88,25.72,
1464,得力實業,4828.37,17.68,6.23,6.82,6.31,
1465,偉全實業,404.16,8.83,-23.54,-18.21,248.79,
1466,聚隆,1826.76,7.84,0.93,-0.41,0.40,
1467,南緯實業,3280.48,17.70,-0.47,1.02,-1.27,
1468,昶和纖維,517.75,19.67,5.47,8.20,8.20,
1470,大統新創,417.51,26.58,11.29,12.94,10.52,
1471,首利,502.31,-10.56,-37.77,-36.16,-36.43,
1472,三洋紡,156.56,-10.24,89.22,88.81,78.02,
1473,台南企業,3863.38,15.02,2.32,3.06,1.90,
1474,弘裕,1717.64,7.85,-1.41,-0.49,-0.90,
1475,本盟光電,28.29,-21.06,-56.16,-92.86,-93.69,
1476,儒鴻,13183.62,28.56,18.94,19.30,14.95,
1477,聚陽實業,12899.81,20.61,8.79,8.61,6.65,
1503,士電,13255.92,18.65,7.98,9.49,7.02,
1504,東元電機,24248.56,24.77,7.99,10.35,8.20,
