公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 899 家
1101,台泥,89657.35,27.51,23.40,25.40,19.00,
1102,亞泥,60908.07,24.51,20.29,25.04,19.54,
1103,嘉泥,1495.21,14.68,-2.58,49.77,65.25,
1104,環球水泥,3436.44,11.79,3.26,23.69,21.91,
1108,幸福水泥,2460.42,2.83,-3.02,-3.37,-2.05,
1109,信大水泥,4717.02,30.55,23.97,23.87,16.20,
1110,東泥,1176.16,8.00,1.52,7.79,7.72,
1201,味全公司,14509.56,31.50,3.14,6.96,6.25,
1203,味王公司,4559.80,32.56,15.50,16.94,11.95,
1210,大成長城,53361.44,14.20,3.15,4.23,3.45,
1213,大飲,501.65,8.78,-0.26,-0.14,-0.31,
1215,卜蜂企業,15807.06,12.97,5.60,5.69,4.24,
1216,統一,330258.56,34.10,6.80,8.93,6.85,
1217,愛之味,3538.84,32.84,3.83,2.05,2.19,
1218,泰山企業,6110.59,18.61,2.35,7.34,6.97,
1219,福壽實業,8713.85,6.83,-0.88,-1.09,-1.01,
1220,台榮,1945.15,12.68,4.13,5.25,4.48,
1225,福懋油,8344.87,7.70,2.67,3.09,2.47,
1227,佳格,19494.27,30.71,11.22,13.73,11.18,
1229,聯華實業,3766.02,16.29,5.53,51.21,51.20,
1231,聯華食品,5993.55,21.40,7.06,7.66,6.14,
1232,大統益,12555.94,10.41,6.10,6.34,5.09,
1233,天仁,1649.46,57.44,8.42,10.68,8.59,
1234,黑松,7003.70,26.75,2.71,9.22,8.21,
1235,興泰,50.03,54.21,24.73,304.43,305.44,
1236,宏亞食品,1410.72,24.00,-3.03,-2.45,-2.56,
1256,鮮活果汁-KY,2661.94,35.48,19.67,20.07,14.43,
1262,綠悅-KY,2967.24,1.04,-8.74,-10.56,-9.12,
1301,台塑,174017.58,16.84,11.86,31.03,27.13,
1303,南亞塑膠,255361.90,15.81,10.02,21.83,18.88,
1304,台聚,45648.48,10.80,4.70,5.78,4.43,
1305,華夏,11298.55,20.40,12.86,13.52,11.06,
1307,三芳化工,7067.38,20.19,3.74,4.22,3.35,
1308,亞聚,4488.95,4.06,0.59,6.41,5.87,
1309,台達化工,16585.57,6.32,2.88,3.14,2.31,
1310,台苯,11981.85,15.35,12.26,12.30,9.47,
1312,國喬石化,19019.41,18.13,12.78,19.54,15.11,
1313,聯成,44029.80,6.29,2.67,2.44,1.97,
1314,中石化,29910.76,14.85,10.10,13.40,13.27,
1315,達新工業,1901.70,15.52,0.06,14.75,14.76,
1316,上曜,1380.66,31.51,12.82,22.41,22.55,
1319,東陽,17445.98,22.56,7.97,10.30,8.32,
1321,大洋,3543.82,4.03,-3.32,0.65,0.55,
1323,永裕,2785.34,24.04,12.63,13.47,9.53,
1324,地球工業,847.47,16.38,0.20,1.14,0.45,
1325,恒大,663.34,11.37,5.24,8.30,6.81,
1326,台化,306288.82,14.83,11.18,19.72,17.34,
1337,再生-KY,1052.25,-12.50,-42.22,-43.73,-44.48,
1338,廣華-KY,6011.68,24.06,8.85,8.94,6.69,
1339,昭輝,2091.16,24.27,11.21,16.10,13.23,
1340,勝悅-KY,1741.25,20.49,11.56,14.47,11.70,
1341,富林-KY,2134.21,16.44,6.38,5.78,4.14,
1402,遠東新,167195.14,21.11,8.08,11.43,9.72,
1410,南染,387.47,38.78,23.07,26.67,21.80,
1413,宏洲纖維,2717.08,8.03,5.68,5.88,6.54,
1414,東和,744.64,9.50,1.11,4.59,4.94,
1416,廣豐,212.64,90.16,-19.39,32.88,22.89,
1417,嘉裕,1072.83,15.21,-28.38,-12.34,-13.91,
1418,東華,574.60,-10.89,-23.20,-26.65,-26.69,
1419,新紡,1132.30,23.20,-5.09,22.46,21.99,
1423,利華羊毛,594.75,10.51,5.94,16.58,15.23,
1432,大魯閣實業,811.46,68.75,-19.15,-17.80,-17.96,
1434,福懋興業,33804.38,12.53,6.27,17.32,14.87,
1435,中福國際,23.31,94.23,-25.30,-13.38,-13.38,
1436,華友聯,1664.09,27.46,18.64,15.91,14.02,
1437,勤益投控,434.71,73.08,54.80,59.56,49.08,
1438,裕豐,0.01,-422.22,-70777.78,-44711.11,-44711.11,
1439,中和羊毛,208.22,3.78,-20.09,-21.56,-20.77,
1440,南紡,18818.21,13.38,4.70,7.27,5.97,
1441,大東紡織,1205.67,0.81,-13.29,94.13,87.96,
1442,名軒,861.49,33.03,19.37,19.81,17.58,
1443,立益紡織,914.99,0.07,-18.72,-59.47,-60.78,
1444,力麗,9393.30,8.26,2.57,5.48,4.50,
1445,大宇紡織,1192.41,4.98,-2.93,-2.28,-1.52,
1446,宏和,341.78,4.92,-17.36,-10.13,-11.09,
1447,力鵬,14013.23,4.89,1.00,3.87,3.47,
1449,佳和實業,1810.16,3.63,-11.64,-6.29,-6.21,
1451,年興紡織,6436.11,10.30,3.45,6.16,4.30,
1452,宏益,1610.68,15.33,9.47,12.26,10.24,
1453,大將,27.62,-1.89,-104.31,1292.52,1290.89,
1454,台富,1458.40,8.52,0.82,1.48,1.82,
