公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 902 家
2387,精元電腦,10437.09,11.82,1.36,3.24,1.21,
2388,威盛電子,4796.84,27.45,-25.62,2.01,1.62,
2390,云辰,672.36,17.75,-22.10,-27.04,-25.74,
2392,正崴,87910.96,8.71,0.14,1.00,0.62,
2393,億光電子,24089.29,23.47,3.69,4.67,3.58,
2395,研華,48726.52,38.30,15.33,16.41,12.96,
2397,友通資訊,5211.12,29.57,15.00,15.16,11.62,
2399,映泰,3040.06,9.52,-2.12,-6.55,-6.27,
2401,凌陽科技,6077.73,39.97,-1.48,3.36,2.34,
2402,毅嘉科技,7231.69,7.06,1.14,2.50,2.01,
2404,漢唐,18127.93,17.56,13.09,16.75,12.55,
2405,浩鑫,4204.53,14.64,-4.11,-4.16,-3.23,
2406,國碩科技,9378.71,-1.51,0.17,-22.73,-23.06,
2408,南亞科,84721.80,55.02,46.45,49.08,46.46,
2409,友達,307634.39,9.15,2.17,3.65,2.59,
2412,中華電,215483.16,35.24,20.25,20.87,16.92,
2413,環科,3832.37,15.95,0.32,0.85,0.12,
2414,精技電腦,17147.71,9.00,1.76,1.77,1.52,
2415,錩新,2197.37,25.81,9.67,7.26,5.72,
2417,圓剛,2801.13,49.16,-0.01,1.55,0.98,
2419,仲琦,10057.78,18.37,3.60,3.67,2.94,
2420,新巨,2820.47,36.88,19.34,22.40,17.75,
2421,建準電機,11965.30,20.07,5.03,6.55,5.08,
2423,固緯,2575.32,50.39,13.60,16.37,13.32,
2424,隴華電子,2.68,49.07,-1818.16,-1539.78,-1540.27,
2425,承啟,4083.03,9.01,5.95,7.22,5.98,
2426,鼎元,3028.13,20.29,5.48,17.20,16.12,
2427,三商電腦,3354.04,27.96,2.91,3.59,3.45,
2428,興勤電子,6019.95,37.23,23.01,25.07,16.42,
2429,銘旺科,905.14,11.76,0.06,-1.30,-1.30,
2430,燦坤實業,20570.15,14.97,1.45,1.12,1.08,
2431,聯昌電子,2428.43,5.31,-10.41,-6.98,-7.82,
2433,互盛電,4090.45,30.41,11.17,15.52,13.31,
2434,統懋,304.70,-34.98,-56.91,-59.47,-59.31,
2436,偉詮電,2564.46,24.74,6.90,8.74,6.87,
2438,翔耀實業,444.17,29.91,15.75,17.20,12.02,
2439,美律,35494.81,13.31,6.49,7.68,5.81,
2440,太空梭,3385.89,5.58,0.37,-1.37,-1.71,
2441,超豐電子,12356.43,26.37,22.81,23.60,19.22,
2442,新美齊,6127.93,24.55,13.89,13.78,14.27,
2443,新利虹,1186.86,0.97,-25.28,-29.13,-33.20,
2444,兆勁,1208.07,9.22,-8.09,-7.51,-8.20,
2448,晶電,20306.41,13.19,-3.34,-4.27,-2.49,
2449,京元電子,20815.37,25.77,13.07,11.48,8.62,
2450,神腦,31240.94,11.35,0.38,1.30,1.28,
2451,創見資訊,17615.97,20.04,12.15,15.06,11.82,
2453,凌群,4726.73,23.49,0.77,1.72,1.27,
2454,聯發科,238057.35,38.53,6.80,9.95,8.73,
2455,全新,2062.12,37.55,22.50,23.72,19.26,
2456,奇力新,17553.01,34.92,21.78,20.15,16.33,
2457,飛宏科技,12138.72,10.41,-2.97,-1.48,-2.03,
2458,義隆,8651.33,45.59,20.00,21.62,17.70,
2459,敦吉,8792.49,13.76,5.97,7.42,5.59,
2460,建通精密,3950.85,7.04,-2.53,-2.87,-2.26,
2461,光群雷射,5202.25,21.03,3.32,1.67,0.47,
2462,良得電,4481.85,8.16,-0.99,1.37,0.25,
2464,盟立,14406.44,18.46,7.96,8.03,6.62,
2465,麗臺科技,3329.16,14.30,-0.41,-2.00,-2.48,
2466,冠西電,2626.83,8.02,-2.67,0.80,0.13,
2467,志聖工業,5699.79,31.54,11.92,13.77,10.49,
2468,華經,1658.72,11.35,2.05,3.18,2.56,
2471,資通,673.52,36.97,6.38,9.41,8.49,
2472,立隆電子,8048.06,26.80,14.33,14.74,11.23,
2474,可成科技,95416.14,40.48,31.03,43.30,29.34,
2476,鉅祥,5126.57,26.79,9.96,12.11,6.92,
2477,美隆電,3445.19,19.86,5.04,7.17,4.90,
2478,大毅,6020.51,38.57,26.38,26.16,22.74,
2480,敦陽科技,4648.44,29.72,10.75,11.38,8.70,
2481,強茂,11365.61,22.33,8.20,8.38,7.41,
2482,連宇,1013.87,39.53,0.72,1.16,0.33,
2483,百容,2037.31,22.38,4.19,9.17,7.89,
2484,希華,2691.88,21.44,8.08,11.08,9.66,
2485,兆赫電子,7771.56,8.39,-1.62,4.00,3.57,
2486,一詮精密,3988.49,8.46,-4.84,-3.15,-2.89,
2488,漢平,2632.42,23.34,11.18,15.38,11.19,
2489,瑞軒,15077.96,11.26,-0.44,1.59,1.21,
2491,吉祥全,355.19,23.65,-6.98,-11.64,-11.67,
2492,華新科,47755.33,60.40,52.77,53.62,42.99,
2493,揚博科技,2400.52,31.90,17.63,17.84,14.29,
2495,普安,1384.10,41.40,3.29,9.67,8.63,
2496,卓越成功,917.58,46.93,12.19,13.20,13.78,
2497,怡利電子,1977.93,15.72,-13.54,-15.86,-11.73,
2498,宏達電,23740.61,2.17,-58.82,72.57,50.65,
2499,東貝光電,5168.14,22.18,4.42,1.89,1.62,
2501,國建,14294.77,26.01,15.59,31.54,29.67,
2504,國產,18644.81,7.55,2.41,2.89,3.17,
2505,國揚實業,752.65,30.75,-5.23,-7.33,-6.77,
2506,太設,1626.13,46.63,13.42,19.31,14.60,
2509,全坤建,3950.64,38.76,28.93,27.57,24.98,
2511,太子,11855.21,28.36,8.93,11.55,10.49,
2514,龍邦國際,111.99,42.36,-90.73,102.81,22.41,
2515,中工,11062.42,9.53,3.19,2.03,3.22,
2516,新建,7471.53,1.37,-0.74,1.06,0.89,
2520,冠德,14435.68,27.70,13.23,7.48,4.66,
2524,京城,3297.86,35.76,20.10,16.59,15.08,
2527,宏璟,4541.73,28.58,12.75,12.01,8.81,
2528,皇普建設,218.45,2.18,-21.46,-30.51,-32.06,
2530,華建,1212.12,16.34,5.62,2.86,1.66,
2534,宏盛,7995.31,44.33,37.92,38.67,37.58,
2535,達工,14484.78,8.24,4.68,4.90,3.78,
2536,宏普建設,3918.01,16.61,11.04,13.29,11.35,
2537,聯上開發,1900.41,9.79,4.34,2.37,1.50,
2538,基泰建設,148.33,69.58,-10.07,36.57,34.08,
2539,櫻花建設,3792.10,22.95,13.95,13.63,11.87,
2540,愛山林,1860.43,36.35,17.67,12.87,9.94,
2542,興富發,44204.97,29.80,21.50,21.38,19.77,
2543,皇昌營造,4457.13,-8.26,-11.59,-11.72,-11.72,
2545,皇翔,3060.89,38.94,18.10,29.21,27.68,
2546,根基,11429.19,6.38,4.40,4.53,3.57,
2547,日勝,31947.33,22.64,13.42,11.75,10.79,
2548,華固建設,4638.02,29.35,16.32,22.67,18.75,
2597,潤弘精密,8646.07,15.15,7.32,9.96,8.46,
2601,益航,8043.88,71.27,16.26,5.47,2.73,
2603,長榮海運,169236.65,4.41,0.55,0.71,0.05,
2605,新興,3773.08,13.59,9.38,3.20,2.25,
2606,裕民,11523.22,14.88,11.57,14.17,14.48,
2607,榮運,7742.44,16.01,12.58,14.08,11.24,
2608,嘉里大榮,10384.00,18.70,13.82,14.97,11.77,
2609,陽明海運,141832.93,0.03,-4.00,-4.99,-4.45,
2610,華航,170711.61,10.08,2.36,1.80,1.33,
2611,志信,937.68,23.51,-0.31,4.67,5.40,
2612,中航,3820.22,25.38,15.89,14.64,13.45,
2613,中櫃,2850.92,8.76,3.81,2.52,2.05,
2614,東森,19304.67,25.17,-2.08,9.83,7.82,
2615,萬海,66778.68,7.49,1.48,2.66,1.70,
2616,山隆通運,19016.29,7.70,1.14,1.65,1.24,
2617,台航,3367.24,25.60,21.25,29.36,28.44,
2618,長榮航空,179907.33,12.29,4.94,5.09,4.01,
2630,亞洲航空,2719.35,11.49,0.52,0.29,0.57,
2633,台灣高鐵,45415.01,44.77,42.16,16.10,23.55,
2634,漢翔公司,28182.10,12.91,8.32,9.41,7.42,
2636,台驊投控,11536.27,17.02,3.26,3.53,3.18,
2637,慧洋-KY,13067.63,27.83,26.59,13.88,13.84,
2642,宅配通,3360.95,15.08,2.20,2.35,2.04,
2701,萬企,364.54,55.36,46.98,137.62,90.32,
2702,華園,1169.72,80.52,7.01,34.07,18.18,
2704,國賓,2977.05,41.73,10.75,17.09,13.54,
2705,六福,2024.59,29.50,-6.86,-11.32,-64.91,
2706,第一店,330.49,73.67,63.83,207.37,130.17,
2707,晶華酒店,6675.94,33.72,16.98,25.08,20.94,
2712,遠雄來,370.43,21.62,-10.36,-10.56,-8.46,
2722,夏都,670.30,34.40,-1.60,3.81,2.99,
2723,美食-KY,24115.08,58.74,9.48,10.03,6.88,
2727,王品,16286.40,46.03,3.49,3.61,2.47,
2731,雄獅旅遊,29621.69,10.74,0.60,1.18,0.90,
2739,寒舍餐旅,4357.92,36.48,1.94,2.88,2.61,
2748,雲品,1707.74,32.93,15.90,15.64,12.38,
2816,旺旺保險,7707.68,33.01,7.67,8.11,7.83,
2823,中壽,338495.11,3.81,2.35,2.84,3.01,
2832,台產,4942.67,37.37,13.48,13.62,11.34,
2841,台灣土地,365.76,45.73,-180.78,115.56,109.89,
2850,新產,14749.32,35.05,13.65,13.67,12.00,
2851,中再保,14871.54,11.75,9.26,9.26,7.06,
2852,第一保,6129.39,30.64,9.20,9.19,8.02,
2867,三商美邦,167844.49,1.76,-0.99,-0.91,-0.19,
2901,欣欣大眾,141.03,88.13,22.49,27.76,22.45,
2903,遠百,39242.55,51.35,10.67,6.50,4.21,
2904,匯僑,475.68,43.39,29.87,31.16,24.97,
2906,高林實,6936.13,22.91,2.76,3.77,2.38,
2908,特力,39897.95,25.72,1.16,0.87,1.05,
2910,統領,436.09,68.45,26.89,24.59,20.66,
2911,麗嬰房,6147.54,45.17,-2.48,-1.24,-1.78,
2912,統一超,244887.85,34.33,5.24,6.29,4.80,
2913,台灣農林,254.24,45.47,-67.91,-21.23,-16.52,
2915,潤泰全球,10498.33,59.73,46.23,123.07,146.85,
2923,鼎固-KY,6928.72,57.71,60.22,45.85,23.57,
2929,淘帝-KY,6764.78,38.86,19.83,19.57,14.10,
2936,客思達-KY,12013.46,27.62,-0.02,-0.41,-0.18,
2939,凱羿-KY,3125.75,26.48,15.63,20.02,16.50,
3002,歐格電子,612.16,28.19,-0.50,2.46,-5.21,
3003,健和興,3534.68,33.25,18.55,21.07,13.73,
3004,豐達科技,2279.43,30.91,15.91,17.03,13.21,
3005,神基科技,24693.84,28.13,10.74,12.26,9.79,
3006,晶豪科技,11555.12,18.42,6.98,7.34,6.20,
3008,大立光,49952.16,68.77,59.28,62.45,48.79,
3010,華立,52935.02,7.95,3.30,3.84,2.81,
3011,今皓,1493.31,11.21,-4.29,-1.77,-2.23,
3013,晟銘電子,6186.40,7.63,1.60,2.99,2.34,
3014,聯陽,3363.14,52.71,16.39,17.35,14.47,
3015,全漢,14522.06,10.03,-1.69,0.59,0.63,
3016,嘉晶,4524.03,17.02,11.04,11.70,9.51,
3017,奇鋐科技,29066.59,11.86,2.47,3.55,2.51,
3018,同開科技,1349.29,7.37,-5.32,-16.37,-12.12,
3019,亞洲光學,19082.73,19.91,8.36,9.79,7.82,
3021,鴻名企業,2373.89,23.46,6.80,7.46,5.25,
3022,威強電,6185.75,31.89,11.11,21.56,14.52,
3023,信邦電子,15645.25,25.06,10.43,12.27,8.77,
3024,憶聲電子,1574.76,21.86,1.41,10.44,9.55,
3025,星通,548.04,37.90,-1.04,0.34,0.17,
3026,禾伸堂,16350.84,35.14,22.03,21.54,16.39,
3027,盛達電業,792.16,32.14,-3.60,-0.48,20.74,
3028,增你強,31079.87,5.83,2.23,1.74,1.32,
3029,零壹科技,6647.35,10.26,4.22,4.74,3.79,
3030,德律科技,4919.43,53.45,25.81,27.13,21.64,
3031,佰鴻工業,1650.74,21.03,1.47,6.74,5.26,
3032,偉訓科技,7432.97,13.10,6.63,8.94,6.20,
3033,威健,52987.13,6.42,2.39,1.68,1.18,
3034,聯詠,54833.86,31.03,13.89,14.42,11.65,
3035,智原,4904.66,53.11,5.77,6.44,5.32,
3036,文曄科技,273416.49,3.89,1.92,1.32,1.02,
3037,欣興電子,75732.78,11.07,1.83,3.01,2.42,
3038,全台,2818.74,17.01,2.16,4.49,3.98,
3040,遠見,189.63,60.06,38.67,62.61,43.50,
3041,揚智,2412.59,17.62,-44.35,-41.93,-31.59,
3042,晶技,8156.27,22.41,6.54,8.99,7.90,
3043,科風,1055.34,23.09,-0.82,-0.19,-0.17,
3044,健鼎科技,52105.68,18.74,10.41,12.52,9.48,
3045,台灣大,118732.33,28.99,15.30,14.90,12.20,
3046,建碁,1703.86,31.43,-0.66,0.54,-0.64,
3047,訊舟科技,6873.56,24.06,3.09,2.99,1.77,
3048,益登,80259.41,3.17,1.11,0.39,0.30,
3049,和鑫,2843.18,16.87,6.02,6.34,6.25,
3050,鈺德科技,790.57,28.29,5.17,8.79,7.96,
3051,力特光電,2453.84,19.56,6.32,-1.78,-4.24,
3052,夆典,1070.74,-6.11,-19.09,-19.04,-12.62,
3054,立萬利,185.51,6.16,-29.46,3.26,0.48,
3055,蔚華科技,3152.98,22.36,2.16,3.97,2.73,
3056,總太地產,2661.31,24.61,14.19,15.26,12.53,
3057,喬鼎資訊,1829.39,32.19,-1.36,-2.64,-3.48,
3058,立德電子,4867.66,12.27,-3.71,-3.10,-3.25,
3059,華晶科技,11193.57,11.78,0.82,2.69,1.55,
3060,銘異,6786.26,4.54,-5.74,-5.02,-5.48,
3062,建漢科技,8598.96,6.40,0.94,2.57,1.94,
3090,日電貿,10679.19,27.84,17.34,18.46,14.75,
3094,聯傑國際,261.10,66.56,3.82,16.41,14.52,
3130,一零四,1577.61,89.91,20.48,22.32,17.88,
3149,正達國際,4170.70,2.02,-4.40,-2.86,-2.99,
3164,景岳生技,406.53,68.27,30.06,30.48,38.77,
3167,大量科技,3986.98,28.06,13.20,15.37,11.23,
