公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 901 家
1101,台泥,25356.33,25.59,19.85,22.10,16.68,
1102,亞泥,19385.68,24.03,19.49,24.47,19.65,
1103,嘉泥,452.38,14.42,-12.37,37.91,32.84,
1104,環球水泥,1187.30,8.96,0.85,13.25,13.19,
1108,幸福水泥,834.35,3.20,-3.16,-4.20,-3.57,
1109,信大水泥,1360.43,28.62,20.90,20.60,14.89,
1110,東泥,417.04,8.38,3.51,7.97,7.15,
1201,味全公司,4540.80,29.73,-0.32,28.38,24.65,
1203,味王公司,1486.29,31.21,14.77,15.40,12.15,
1210,大成長城,18186.19,14.60,3.71,3.82,2.75,
1215,卜蜂企業,5035.30,14.35,6.70,6.51,4.95,
1216,統一,107791.64,34.42,6.97,8.99,7.26,
1217,愛之味,996.83,30.92,2.32,1.96,1.66,
1218,泰山企業,1731.21,18.14,1.98,6.77,6.10,
1219,福壽實業,2966.59,8.88,0.64,0.73,0.51,
1220,台榮,612.60,11.12,2.21,2.91,2.46,
1225,福懋油,2477.77,9.82,4.02,4.39,3.51,
1227,佳格,7337.17,30.47,13.81,14.06,10.88,
1229,聯華實業,1228.70,16.38,5.55,86.57,85.47,
1231,聯華食品,2118.07,20.94,4.79,6.46,5.22,
1232,大統益,4159.27,13.65,8.89,9.11,7.30,
1233,天仁,562.63,58.84,9.72,9.78,7.86,
1234,黑松,2145.27,20.81,1.73,8.81,7.69,
1235,興泰,4.70,1.90,-85.37,-767.40,-769.70,
1236,宏亞食品,499.95,24.77,1.50,2.32,1.73,
1256,鮮活果汁-KY,686.86,35.96,16.56,17.99,13.22,
1262,綠悅-KY,907.52,-5.05,-14.76,-14.90,-12.74,
1301,台塑,53012.08,15.37,9.94,17.61,15.36,
1303,南亞塑膠,70920.12,9.20,3.21,8.22,7.03,
1304,台聚,13493.38,11.56,4.51,5.59,4.32,
1305,華夏,3227.71,13.90,5.69,6.98,5.92,
1307,三芳化工,2628.24,20.17,5.26,5.82,3.83,
1308,亞聚,1709.71,10.35,6.96,9.45,8.00,
1309,台達化工,4600.16,8.55,4.56,5.44,4.24,
1310,台苯,2937.39,15.26,11.80,13.62,11.18,
1312,國喬石化,5005.84,13.81,7.47,14.18,11.99,
1313,聯成,15365.59,1.58,-1.40,-1.07,-0.92,
1314,中石化,8138.03,3.78,-1.75,4.18,3.80,
1315,達新工業,510.52,16.05,-1.06,0.15,0.94,
1316,上曜,134.18,10.57,-43.44,-32.14,-33.65,
1319,東陽,5309.89,24.37,10.12,11.50,8.85,
1321,大洋,1030.51,5.36,-2.38,3.01,3.01,
1323,永裕,844.81,21.06,10.74,10.61,8.30,
1324,地球工業,290.94,14.66,-1.39,-0.63,-1.28,
1325,恒大,195.65,11.35,5.02,7.06,5.22,
1326,台化,91432.67,13.72,9.39,11.79,10.04,
1337,再生-KY,374.81,-25.46,-54.23,-52.43,-52.43,
1338,廣華-KY,1703.36,25.59,6.28,7.59,5.46,
1339,昭輝,642.50,25.18,13.34,20.00,15.76,
1340,勝悅-KY,319.32,-5.56,-15.66,-10.99,-11.59,
1341,富林-KY,653.61,19.07,9.23,8.77,6.52,
1402,遠東新,61919.92,17.56,5.55,6.65,5.56,
1410,南染,96.34,35.52,16.00,18.98,15.62,
1413,宏洲纖維,887.77,6.13,3.45,4.32,4.27,
1414,東和,211.14,1.12,-6.88,-7.09,-5.60,
1416,廣豐,56.31,99.98,-23.95,31.94,25.54,
1417,嘉裕,373.57,22.13,-18.05,-11.64,-12.14,
1418,東華,82.20,-18.83,-40.87,-49.65,-49.78,
1419,新紡,404.48,23.84,-3.31,-1.45,-1.49,
1423,利華羊毛,112.10,12.27,4.39,10.27,9.26,
1432,大魯閣實業,310.93,82.38,-11.73,-20.23,-20.23,
1434,福懋興業,11718.85,12.11,6.04,6.26,4.79,
1435,中福國際,5.35,94.08,-78.83,237.21,237.21,
1436,華友聯,505.17,26.07,16.76,13.90,12.03,
