公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 884 家
1101,台泥,24179.21,23.95,19.23,19.10,11.85,
1102,亞泥,16573.88,20.09,16.13,18.41,14.57,
1103,嘉泥,471.26,11.63,-10.75,41.04,33.99,
1104,環球水泥,1166.10,11.88,4.24,0.89,0.20,
1108,幸福水泥,832.71,2.47,-4.15,-3.71,-0.74,
1109,信大水泥,1061.38,22.71,13.71,19.50,16.05,
1110,東泥,412.49,8.35,1.83,2.77,3.72,
1201,味全公司,3917.35,28.20,-0.59,0.78,3.27,
1203,味王公司,1447.47,33.75,18.05,16.77,10.51,
1210,大成長城,17123.12,14.90,3.42,6.39,5.40,
1213,大飲,149.09,10.74,0.77,1.99,1.13,
1215,卜蜂企業,4957.24,14.78,6.68,6.62,5.44,
1216,統一,104288.10,33.97,6.72,8.18,6.26,
1217,愛之味,1028.43,31.66,3.33,2.78,3.90,
1218,泰山企業,1844.85,16.56,0.98,4.67,4.40,
1219,福壽實業,2880.71,9.32,2.01,1.93,1.56,
1220,台榮,573.90,11.49,3.01,5.82,5.89,
1225,福懋油,2794.67,8.99,3.81,4.12,3.44,
1227,佳格,7414.47,30.87,13.09,12.74,10.03,
1229,聯華實業,1224.45,16.62,5.87,45.88,44.53,
1231,聯華食品,2016.95,22.76,7.47,8.00,6.68,
1232,大統益,4117.72,10.43,6.20,6.06,4.91,
1233,天仁,553.44,58.11,9.15,8.67,6.97,
1234,黑松,2316.16,20.48,-1.31,6.23,5.13,
1235,興泰,6.03,-10.29,-74.18,131.71,150.04,
1236,宏亞食品,571.54,28.20,5.90,6.49,5.88,
1256,鮮活果汁-KY,699.96,31.63,14.08,14.10,9.32,
1262,綠悅-KY,1276.12,7.73,-0.38,-1.67,-1.83,
1301,台塑,54167.37,17.26,12.32,25.34,21.94,
1303,南亞塑膠,82219.99,16.75,11.03,18.53,16.14,
1304,台聚,14670.15,12.58,6.22,6.82,5.56,
1305,華夏,4144.20,23.41,15.84,16.46,14.08,
1307,三芳化工,2385.36,23.21,6.57,5.49,4.33,
1308,亞聚,1326.21,5.87,2.04,6.47,6.24,
1309,台達化工,4842.17,7.75,4.00,4.61,3.92,
1310,台苯,4004.44,13.64,10.62,12.10,9.66,
1312,國喬石化,6386.71,17.61,12.19,18.82,15.74,
1313,聯成,13569.50,7.51,3.57,4.32,3.18,
1314,中石化,9494.45,13.25,8.47,11.78,11.62,
1315,達新工業,573.45,14.33,-1.94,-4.51,-1.54,
1316,上曜,766.58,32.49,17.82,18.78,18.01,
1319,東陽,6245.14,23.43,9.49,11.15,8.06,
1321,大洋,1190.14,6.76,-1.05,3.52,3.34,
1323,永裕,825.30,23.66,11.60,11.49,8.67,
1324,地球工業,261.06,14.99,-2.64,-2.74,-2.06,
1325,恒大,229.12,11.55,6.02,3.98,3.34,
1326,台化,98956.55,15.92,12.21,16.30,14.48,
1337,再生-KY,343.81,-12.37,-41.31,-39.92,-39.92,
1338,廣華-KY,1987.17,25.25,10.27,11.39,9.21,
1339,昭輝,722.81,30.02,15.97,8.82,7.24,
1340,勝悅-KY,490.79,28.59,16.15,18.20,14.98,
1402,遠東新,51457.88,20.92,6.79,8.99,7.97,
1410,南染,122.94,38.90,22.60,20.21,15.89,
1413,宏洲纖維,901.23,8.40,5.93,5.70,5.70,
1414,東和,261.47,9.63,2.18,1.10,2.09,
1416,廣豐,56.62,99.39,-34.73,170.12,143.84,
1417,嘉裕,458.16,13.48,-22.34,-11.09,-13.50,
1418,東華,154.72,-18.95,-33.77,-38.98,-38.89,
1419,新紡,345.63,16.15,-13.44,-17.42,-16.74,
1423,利華羊毛,218.91,5.32,0.92,7.78,7.72,
1432,大魯閣實業,201.86,77.83,-32.00,-31.12,-31.12,
1434,福懋興業,10730.42,12.03,5.87,5.15,3.56,
1435,中福國際,9.10,93.13,-6.08,-48.52,-48.52,
1436,華友聯,631.45,29.75,21.40,19.21,18.25,
1437,勤益投控,176.68,79.79,65.43,60.96,48.16,
1438,裕豐,0.00,-4000.00,-238400.00,-168400.00,-168400.00,
1439,中和羊毛,65.03,4.69,-7.98,-3.63,-4.06,
1440,南紡,6000.88,12.48,3.29,3.62,2.76,
1441,大東紡織,426.70,3.65,-10.12,-16.49,-16.89,
1442,名軒,482.23,28.81,18.42,18.73,16.87,
1443,立益紡織,278.48,-3.18,-17.24,-13.22,-14.04,
1444,力麗,2956.80,8.51,2.90,1.85,1.65,
1445,大宇紡織,374.29,3.10,-5.08,-5.62,-4.06,
1446,宏和,71.06,-6.49,-39.89,-43.46,-44.57,
1447,力鵬,4803.79,4.89,1.20,-1.34,-0.38,
1449,佳和實業,552.70,-0.34,-16.86,-19.38,-19.24,
1451,年興紡織,1749.91,5.20,-1.74,-2.54,-4.55,
1452,宏益,532.31,16.84,11.15,11.43,9.35,
1453,大將,2.17,-93.65,-661.22,16200.32,16247.38,
1454,台富,458.09,7.57,0.37,-0.88,0.17,
1455,集盛,4112.02,5.95,2.80,2.39,2.21,
1456,怡華,89.99,29.15,8.44,-6.84,-7.02,
1457,宜進,1412.62,12.23,6.03,31.23,29.12,
1459,聯發紡織,876.41,2.14,-2.77,2.41,2.58,
1460,宏遠,2370.49,18.33,3.95,2.40,1.80,
1463,強盛染整,348.12,42.86,32.06,37.77,36.90,
