公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,3688295.0,,5740441,,--,--,,,,,,,18332102,--,1164428,3.35,,,,,22775397.0,17034956.0,17034956.0,,--,19496530.0,--,89657354.0,64992780.0,--,--,24664574.0,--,--,24664574.0,--,20976279.0,1799118.0,2461574,15943568,1091388,,,,,,,,,,,
1102,亞泥,,,,2568089.0,,3350085,,--,--,,,,,,,13134649,--,2204503,2.96,,,,,15252069.0,11901984.0,11901984.0,,--,15339152.0,--,60908065.0,45980762.0,--,--,14927303.0,0,669,14927972.0,--,12359883.0,2892186.0,3437168,9298368,2603616,,,,,,,,,,,
1103,嘉泥,,,,258070.0,,75482,,306846,--,,,,,,,3053036,--,160184,1.37,,,,,744232.0,668750.0,975596.0,,--,3213220.0,--,1495207.0,1275757.0,--,--,219450.0,--,--,219450.0,--,-38620.0,782852.0,2237624,882966,92630,,,,,,,,,,,
1104,環球水泥,,,,293195.0,,60985,,--,--,,,,,,,714648,--,-6535,1.16,,,,,813976.0,752991.0,752991.0,,--,708113.0,--,3436442.0,3031159.0,--,--,405283.0,--,--,405283.0,--,112088.0,701888.0,-44878,759526,-6535,,,,,,,,,,,
1108,幸福水泥,,,,159878.0,,-33075,,-649,--,,,,,,,-45810,--,-1271,-0.12,,,,,-82835.0,-49760.0,-50409.0,,--,-47081.0,--,2460423.0,2390823.0,--,--,69600.0,--,--,69600.0,16056,-74222.0,-8613.0,3328,-49141,-1268,,,,,,,,,,,
1109,信大水泥,,,,310334.0,,361763,,--,--,,,,,,,435951,--,229503,1.4,,,,,1125896.0,764133.0,764133.0,,--,665454.0,--,4717018.0,3276106.0,--,--,1440912.0,--,--,1440912.0,--,1130578.0,-4682.0,-98679,501962,262171,,,,,,,,,,,
1110,東泥,,,,76249.0,,805,,--,--,,,,,,,140894,--,198,0.16,,,,,91609.0,90804.0,90804.0,,--,141092.0,--,1176164.0,1082054.0,--,--,94110.0,--,--,94110.0,--,17861.0,73748.0,50288,90591,213,,,,,,,,,,,
1201,味全公司,,,,4114102.0,,102604,,--,--,,,,,,,962324,--,-113448,2.02,,,,,1009984.0,907380.0,907380.0,,--,848876.0,--,14509560.0,9939352.0,--,--,4570208.0,--,--,4570208.0,--,456106.0,553878.0,-58504,1020605,-113225,,,,,,,,,,,
1203,味王公司,,,,778186.0,,227448,,--,--,,,,,,,384160,--,240980,1.44,,,,,772459.0,545011.0,545011.0,,--,625140.0,--,4559801.0,3075011.0,--,--,1484790.0,--,--,1484790.0,--,706604.0,65855.0,80129,342004,203007,,,,,,,,,,,
1210,大成長城,,,,5891860.0,,418219,,--,--,,,,,,,1499721,--,59412,2.12,,,,,2256741.0,1838522.0,1838522.0,,--,1559133.0,--,53361441.0,45786356.0,--,--,7575085.0,--,--,7575085.0,--,1683225.0,573516.0,-279389,1553882,284640,,,,,,,,,,,
