公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,2264438.0,,,,--,--,,,,,,,4757813,--,747479,0.81,,,,,5754330.0,,4234491.0,4234491.0,,--,5505292.0,--,45893851.0,37627091.0,--,--,8266760.0,--,--,8266760.0,--,6002322.0,-247992.0,1519839,1270801,2981955,1252536,,,,,,,,,,,
1102,亞泥,,,,1104267.0,,,,--,--,,,,,,,764678,--,-239034,0.59,,,,,2589791.0,,2094945.0,2094945.0,,--,525644.0,--,28810785.0,25332829.0,--,--,3477956.0,822,0,3477134.0,--,2372867.0,216924.0,494846,-1569301,1852449,242496,,,,,,,,,,,
1103,嘉泥,,,,229149.0,,,,--,--,,,,,,,2795772,--,117807,-0.16,,,,,-62229.0,,-85306.0,-85306.0,,--,2913579.0,--,1058884.0,880761.0,--,--,178123.0,--,--,178123.0,--,-51026.0,-11203.0,23077,2998885,-100730,15424,,,,,,,,,,,
1104,環球水泥,,,,187911.0,,,,--,--,,,,,,,440920,--,-11701,1.04,,,,,740752.0,,665869.0,665869.0,,--,429219.0,--,2159763.0,1888763.0,--,--,271000.0,--,--,271000.0,--,83089.0,657663.0,74883,-236650,677570,-11701,,,,,,,,,,,
1108,幸福水泥,,,,111230.0,,,,-474,--,,,,,,,8982,--,-377,0.07,,,,,40810.0,,28863.0,28389.0,,--,8605.0,--,1762458.0,1601301.0,--,--,161157.0,--,--,161157.0,220,50147.0,-9337.0,11947,-19784,28764,-375,,,,,,,,,,,
1109,信大水泥,,,,199994.0,,,,--,--,,,,,,,118600,--,45689,0.42,,,,,258821.0,,226531.0,226531.0,,--,164289.0,--,2317812.0,1877413.0,--,--,440399.0,--,--,440399.0,--,240405.0,18416.0,32290,-62242,159723,66808,,,,,,,,,,,
1110,東泥,,,,37586.0,,,,--,--,,,,,,,81715,--,-1980,-0.01,,,,,8793.0,,-10032.0,-10032.0,,--,79735.0,--,684516.0,712386.0,--,--,-27870.0,--,--,-27870.0,--,-65456.0,74249.0,18825,89767,-8053,-1979,,,,,,,,,,,
1201,味全公司,,,,2312650.0,,,,--,--,,,,,,,-97575,--,109900,0.1,,,,,267257.0,,159425.0,159425.0,,--,12325.0,--,7910364.0,5674742.0,--,--,2235622.0,--,--,2235622.0,--,-77028.0,344285.0,107832,-147100,49284,110141,,,,,,,,,,,
1203,味王公司,,,,483381.0,,,,0,--,,,,,,,168628,--,130999,0.85,,,,,473076.0,,339392.0,339392.0,,--,299627.0,--,3076033.0,2119720.0,--,--,956313.0,0,0,956313.0,--,472932.0,144.0,133684,-39765,201935,137457,,,,,,,,,,,
1210,大成長城,,,,3470173.0,,,,--,--,,,,,,,887877,--,-59168,1.29,,,,,1349349.0,,1003128.0,1003128.0,,--,828709.0,--,36741067.0,31901247.0,--,--,4839820.0,--,--,4839820.0,--,1369647.0,-20298.0,346221,-174419,884186,118942,,,,,,,,,,,
