公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1227,佳格,,,,1318882.0,,200687,,--,--,,,,,,,915091,--,8360,0.82,,,,,944534.0,743847.0,743847.0,,--,923451.0,--,7414473.0,5125269.0,--,--,2289204.0,--,--,2289204.0,--,970322.0,-25788.0,179604,743675,172,,,,,,,,,,,
1229,聯華實業,,,,131606.0,,16568,,--,--,,,,,,,922531,--,1903,0.57,,,,,561762.0,545194.0,545194.0,,--,924434.0,--,1224453.0,1021008.0,--,--,203445.0,--,--,203445.0,--,71839.0,489923.0,379240,544616,578,,,,,,,,,,,
1231,聯華食品,,,,308335.0,,26492,,--,--,,,,,,,142328,--,156,0.84,,,,,161284.0,134792.0,134792.0,,--,142484.0,--,2016950.0,1557862.0,--,--,459088.0,--,--,459088.0,--,150753.0,10531.0,7692,134929,-137,,,,,,,,,,,
1232,大統益,,,,174080.0,,47558,,--,--,,,,,,,197354,--,4940,1.23,,,,,249625.0,202067.0,202067.0,,--,202294.0,--,4117718.0,3688378.0,--,--,429340.0,--,--,429340.0,--,255260.0,-5635.0,227,197130,4937,,,,,,,,,,,
1233,天仁,,,,270930.0,,9412,,--,--,,,,,,,31975,--,-26,0.43,,,,,48004.0,38592.0,38592.0,,--,31949.0,--,553440.0,231843.0,--,--,321597.0,--,--,321597.0,--,50667.0,-2663.0,-6643,38727,-135,,,,,,,,,,,
1234,黑松,,,,504759.0,,25524,,--,--,,,,,,,124184,--,--,0.3,,,,,144350.0,118826.0,118826.0,,--,124184.0,--,2316158.0,1841778.0,--,--,474380.0,--,--,474380.0,--,-30379.0,174729.0,5358,118826,--,,,,,,,,,,,
1235,興泰,,,,3854.0,,-1106,,--,--,,,,,,,408164,--,--,0.15,,,,,7946.0,9052.0,9052.0,,--,408164.0,--,6033.0,6654.0,--,--,-621.0,--,--,-621.0,--,-4475.0,12421.0,399112,9052,--,,,,,,,,,,,
1236,宏亞食品,,,,127459.0,,3474,,--,--,,,,,,,111934,--,0,0.31,,,,,37076.0,33602.0,33602.0,,--,111934.0,--,571543.0,410383.0,--,--,161160.0,--,--,161160.0,--,33701.0,3375.0,78332,33602,0,,,,,,,,,,,
1256,鮮活果汁-KY,,,,122796.0,,33461,,--,--,,,,,,,92732,--,43,2.13,,,,,98690.0,65229.0,65229.0,,--,92775.0,--,699961.0,478591.0,--,--,221370.0,--,--,221370.0,--,98574.0,116.0,27546,65444,-215,,,,,,,,,,,
1262,綠悅-KY,,,,103517.0,,2095,,--,--,,,,,,,153486,--,--,-0.14,,,,,-21296.0,-23391.0,-23391.0,,--,153486.0,--,1276116.0,1177466.0,--,--,98650.0,--,--,98650.0,--,-4867.0,-16429.0,176877,-23391,--,,,,,,,,,,,
