公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,1454902.0,,1373525,,--,--,,,--,,,,,12470174,--,359923,0.77,,,,,5603495.0,4229970.0,4229970.0,,12830097.0,--,25356328,18868464,--,--,6487864,--,--,6487864,--,5032962.0,570533.0,8600127,3951920,278050,,,,,,,,,,,
1102,亞泥,,,,880765.0,,933325,,--,--,,,--,,,,,5724687,--,1258519,0.93,,,,,4743411.0,3810086.0,3810086.0,,6983206.0,--,19385675,14727174,--,--,4658501,--,0,4658501,--,3777736.0,965675.0,3173120,2929272,880814,,,,,,,,,,,
1103,嘉泥,,,,121189.0,,23761,,851,--,,,--,,,,,1685201,--,86412,0.2,,,,,171491.0,147730.0,148581.0,,1771613.0,--,452376,387155,--,--,65221,--,--,65221,--,-55968.0,227459.0,1623032,126476,22105,,,,,,,,,,,
1104,環球水泥,,,,96297.0,,754,,--,--,,,--,,,,,406293,--,1420,0.24,,,,,157355.0,156601.0,156601.0,,407713.0,--,1187296,1080876,--,--,106420,--,--,106420,--,10123.0,147232.0,251112,155181,1420,,,,,,,,,,,
1108,幸福水泥,,,,57144.0,,-5276,,0,--,,,--,,,,,-13174,--,0,-0.07,,,,,-35049.0,-29773.0,-29773.0,,-13174.0,--,834345,807682,--,--,26663,--,--,26663,4120,-26361.0,-8688.0,16599,-29773,0,,,,,,,,,,,
1109,信大水泥,,,,104934.0,,77682,,--,--,,,--,,,,,190754,--,105889,0.37,,,,,280274.0,202592.0,202592.0,,296643.0,--,1360434,971109,--,--,389325,0,0,389325,--,284391.0,-4117.0,94051,128050,74542,,,,,,,,,,,
1110,東泥,,,,20296.0,,3430,,--,--,,,--,,,,,117443,--,148,0.05,,,,,33250.0,29820.0,29820.0,,117591.0,--,417039,382106,--,--,34933,--,--,34933,--,14637.0,18613.0,87771,29748,72,,,,,,,,,,,
1201,味全公司,,,,1364270.0,,169566,,--,--,,,--,,,,,1196813,--,331,2.21,,,,,1288812.0,1119246.0,1119246.0,,1197144.0,--,4540795,3190931,--,--,1349864,--,--,1349864,--,-14406.0,1303218.0,77898,1119005,241,,,,,,,,,,,
1203,味王公司,,,,244321.0,,48287,,--,--,,,--,,,,,151986,--,84491,0.5,,,,,228872.0,180585.0,180585.0,,236477.0,--,1486287,1022486,--,--,463801,0,0,463801,--,219480.0,9392.0,55892,119333,61252,,,,,,,,,,,
1210,大成長城,,,,1981076.0,,195318,,--,--,,,--,,,,,705154,--,131891,0.65,,,,,695063.0,499745.0,499745.0,,837045.0,--,18186187,15531111,--,--,2655076,--,--,2655076,--,674000.0,21063.0,337300,479948,19797,,,,,,,,,,,
1213,大飲,,,,15631.0,,-157,,--,--,,,--,,,,,-9278,--,--,-0.16,,,,,-9413.0,-9256.0,-9256.0,,-9278.0,--,132403,117576,--,--,14827,--,--,14827,--,-804.0,-8609.0,-22,-9256,--,,,,,,,,,,,
1215,卜蜂企業,,,,365310.0,,63550,,-14877,--,,,--,,,,,368898,--,9691,0.9,,,,,327732.0,264182.0,249305.0,,378589.0,--,5035297,4312694,--,--,722603,--,--,722603,-20163,337130.0,-9398.0,129284,242130,7175,,,,,,,,,,,
1216,統一,,,,29587034.0,,1867503,,--,--,,,--,,,,,7121987,--,3526708,0.93,,,,,9691616.0,7824113.0,7824113.0,,10648695.0,--,107791643,70689331,--,--,37102312,--,--,37102312,--,7515278.0,2176338.0,2824582,5275915,2548198,,,,,,,,,,,
1217,愛之味,,,,285067.0,,3030,,0,--,,,--,,,,,69141,--,4231,0.03,,,,,19558.0,16528.0,16528.0,,73372.0,--,996828,688627,--,--,308201,--,--,308201,--,23134.0,-3576.0,56844,13114,3414,,,,,,,,,,,
1218,泰山企業,,,,279610.0,,11623,,--,--,,,--,,,,,120532,--,62,0.22,,,,,117156.0,105533.0,105533.0,,120594.0,--,1731205,1417423,--,--,313782,1309,1500,313973,--,34363.0,82793.0,15061,105471,62,,,,,,,,,,,
1219,福壽實業,,,,244565.0,,6654,,--,--,,,--,,,,,33778,--,-17614,0.1,,,,,21717.0,15063.0,15063.0,,16164.0,--,2966586,2697140,--,-6000,263446,--,--,263446,--,18881.0,2836.0,1101,32849,-17786,,,,,,,,,,,
1220,台榮,,,,54579.0,,2708,,--,--,,,--,,,,,9106,--,5990,0.05,,,,,17804.0,15096.0,15096.0,,15096.0,--,612597,544462,--,--,68135,--,--,68135,--,13556.0,4248.0,0,9106,5990,,,,,,,,,,,
