公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,5410638.0,,7900350,,--,--,,,,,,,18245179,--,1462216,4.37,,,,,30544421.0,22644071.0,22644071.0,,--,19707395.0,--,124594602.0,91003063.0,--,--,33591539.0,--,--,33591539.0,--,28180901.0,2363520.0,-2936676,21180821,1463250,,,,,,,,,,,
1102,亞泥,,,,3018351.0,,5480921,,--,--,,,,,,,12811353,--,3514017,3.54,,,,,20370118.0,14889197.0,14889197.0,,--,16325370.0,--,82741004.0,61584690.0,--,--,21156314.0,0,15147,21171461.0,--,18153110.0,2217008.0,1436173,11117094,3772103,,,,,,,,,,,
1103,嘉泥,,,,392089.0,,173283,,514526,--,,,,,,,1384470,--,96003,1.09,,,,,427880.0,254597.0,769123.0,,--,1480473.0,--,2092406.0,1803918.0,--,--,288488.0,--,--,288488.0,--,-103601.0,531481.0,711350,699755,69368,,,,,,,,,,,
1104,環球水泥,,,,388436.0,,76298,,--,--,,,,,,,721035,--,-5420,1.62,,,,,1127866.0,1051568.0,1051568.0,,--,715615.0,--,4780994.0,4209912.0,--,--,571082.0,--,--,571082.0,--,182646.0,945220.0,-335953,1057293,-5725,,,,,,,,,,,
1108,幸福水泥,,,,218012.0,,9280,,-672,--,,,,,,,-172004,--,-24645,-0.44,,,,,-191662.0,-200942.0,-201614.0,,--,-196649.0,--,3330601.0,3283834.0,--,--,46767.0,--,--,46767.0,16103,-155142.0,-36520.0,4965,-176971,-24643,,,,,,,,,,,
1109,信大水泥,,,,429090.0,,505550,,--,--,,,,,,,795268,--,387745,2.38,,,,,1759056.0,1253506.0,1253506.0,,--,1183013.0,--,6701130.0,4517299.0,--,--,2183831.0,--,--,2183831.0,--,1754741.0,4315.0,-70493,840240,413266,,,,,,,,,,,
1110,東泥,,,,103957.0,,5652,,--,--,,,,,,,56187,--,45,0.12,,,,,71241.0,65589.0,65589.0,,--,56232.0,--,1676187.0,1531733.0,--,--,144454.0,--,--,144454.0,--,40497.0,30744.0,-9357,65680,-91,,,,,,,,,,,
1201,味全公司,,,,5525400.0,,123575,,--,--,,,,,,,982457,--,-113187,1.94,,,,,992666.0,869091.0,869091.0,,--,869270.0,--,19436763.0,13398214.0,--,--,6038549.0,--,--,6038549.0,--,513149.0,479517.0,179,982564,-113473,,,,,,,,,,,
1203,味王公司,,,,993409.0,,315697,,0,--,,,,,,,456629,--,314661,1.82,,,,,1020022.0,704325.0,704325.0,,--,771290.0,--,6081031.0,4111026.0,--,--,1970005.0,--,--,1970005.0,--,976596.0,43426.0,66965,431907,272418,,,,,,,,,,,
1210,大成長城,,,,7815474.0,,617587,,--,--,,,,,,,1983157,--,253482,2.75,,,,,3031193.0,2413606.0,2413606.0,,--,2236639.0,--,72442933.0,62354838.0,--,--,10088095.0,--,--,10088095.0,--,2272621.0,758572.0,-176967,2009883,403723,,,,,,,,,,,
1213,大飲,,,,65665.0,,21282,,--,--,,,,,,,-89561,--,--,-1.58,,,,,-68297.0,-89579.0,-89579.0,,--,-89561.0,--,594238.0,540347.0,--,--,53891.0,--,--,53891.0,--,-11774.0,-56523.0,18,-89579,--,,,,,,,,,,,
1215,卜蜂企業,,,,1579305.0,,312790,,--,--,,,,,,,1057944,--,42674,3.55,,,,,1307850.0,995060.0,995060.0,,--,1100618.0,--,21235086.0,18377736.0,--,--,2857350.0,--,--,2857350.0,7253,1285298.0,22552.0,105558,950727,44333,,,,,,,,,,,
1216,統一,,,,118298458.0,,8362977,,--,--,,,,,,,17246954,--,8328307,3.07,,,,,35308150.0,26945173.0,26945173.0,,--,25575261.0,--,431445520.0,286160653.0,--,--,145284867.0,--,--,145284867.0,--,26986409.0,8321741.0,-1369912,17442022,9503151,,,,,,,,,,,
1217,愛之味,,,,1313529.0,,-4393,,--,--,,,,,,,71533,--,15402,0.1,,,,,58294.0,62687.0,62687.0,,--,86935.0,--,4321819.0,2941256.0,--,--,1380563.0,--,--,1380563.0,--,67034.0,-8740.0,24248,47898,14789,,,,,,,,,,,
1218,泰山企業,,,,1341737.0,,26778,,--,--,,,,,,,434433,--,211,0.98,,,,,491460.0,464682.0,464682.0,,--,434644.0,--,7901670.0,6468636.0,--,--,1433034.0,1500,539,1432073.0,--,90336.0,401124.0,-30038,464443,239,,,,,,,,,,,
1219,福壽實業,,,,872769.0,,11558,,--,--,,,,,,,-13247,--,-84537,-0.03,,,,,-84065.0,-95623.0,-95623.0,,--,-97784.0,--,11709984.0,10902412.0,--,-17500,790072.0,--,--,790072.0,--,-82697.0,-1368.0,-2161,-11233,-84390,,,,,,,,,,,
1220,台榮,,,,226980.0,,21621,,--,--,,,,,,,91767,--,19320,0.53,,,,,134336.0,112715.0,112715.0,,--,111087.0,--,2747263.0,2409947.0,--,--,337316.0,--,--,337316.0,--,110336.0,24000.0,-1628,93389,19326,,,,,,,,,,,
1225,福懋油,,,,608864.0,,78755,,--,--,,,,,,,245655,--,44870,1.17,,,,,379257.0,300502.0,300502.0,,--,290525.0,--,11243509.0,10332888.0,--,--,910621.0,967,--,909654.0,40978,341768.0,37489.0,-9977,255632,44870,,,,,,,,,,,
1227,佳格,,,,5104509.0,,707925,,--,--,,,,,,,2813107,--,16451,3.25,,,,,3676232.0,2968307.0,2968307.0,,--,2829558.0,--,27340587.0,19086242.0,--,--,8254345.0,--,--,8254345.0,--,3149836.0,526396.0,-138749,2949089,19218,,,,,,,,,,,
1229,聯華實業,,,,531884.0,,-2696,,--,--,,,,,,,720349,--,-4476,2.35,,,,,2470744.0,2473440.0,2473440.0,,--,715873.0,--,5097818.0,4265761.0,--,--,832057.0,--,--,832057.0,--,300173.0,2170571.0,-1757567,2476292,-2852,,,,,,,,,,,
1231,聯華食品,,,,1157723.0,,135835,,--,--,,,,,,,534834,--,-317,3.26,,,,,677536.0,541701.0,541701.0,,--,534517.0,--,8116880.0,6338806.0,--,--,1778074.0,--,--,1778074.0,--,620351.0,57185.0,-7184,541703,-2,,,,,,,,,,,
1232,大統益,,,,745148.0,,229603,,--,--,,,,,,,909438,--,19330,5.67,,,,,1155913.0,926310.0,926310.0,,--,928768.0,--,16948746.0,15091718.0,--,--,1857028.0,--,--,1857028.0,--,1111880.0,44033.0,2458,906880,19430,,,,,,,,,,,
1233,天仁,,,,1091727.0,,42892,,--,--,,,,,,,309130,--,225,1.93,,,,,217591.0,174699.0,174699.0,,--,309355.0,--,2193118.0,936979.0,--,--,1256139.0,0,0,1256139.0,--,164412.0,53179.0,134656,174509,190,,,,,,,,,,,
1234,黑松,,,,1893990.0,,106565,,--,--,,,,,,,668366,--,--,1.73,,,,,802874.0,696309.0,696309.0,,--,668366.0,--,8901634.0,6783973.0,--,--,2117661.0,--,--,2117661.0,--,223671.0,579203.0,-27943,696309,--,,,,,,,,,,,
1235,興泰,,,,21100.0,,-389,,--,--,,,,,,,928948,--,--,1.25,,,,,105584.0,105973.0,105973.0,,--,928948.0,--,57652.0,30891.0,--,--,26761.0,--,--,26761.0,--,5661.0,99923.0,822975,105973,--,,,,,,,,,,,
1236,宏亞食品,,,,520226.0,,4636,,--,--,,,,,,,86147,--,--,0.12,,,,,17903.0,13267.0,13267.0,,--,86147.0,--,1972592.0,1445695.0,--,--,526897.0,--,--,526897.0,--,6671.0,11232.0,72880,13267,--,,,,,,,,,,,
1256,鮮活果汁-KY,,,,539712.0,,183310,,--,--,,,,,,,408846,--,-962,14.35,,,,,625045.0,441735.0,441735.0,,--,407884.0,--,3221239.0,2077143.0,--,--,1144096.0,--,--,1144096.0,--,604384.0,20661.0,-33851,441633,102,,,,,,,,,,,
1262,綠悅-KY,,,,380472.0,,-72648,,--,--,,,,,,,-623249,--,--,-2.72,,,,,-516934.0,-444286.0,-444286.0,,--,-623249.0,--,3859452.0,3881351.0,--,--,-21899.0,--,--,-21899.0,--,-402371.0,-114563.0,-178963,-444286,--,,,,,,,,,,,
1301,台塑,,,,11966756.0,,7542836,,--,--,,,,,,,34453640,--,--,7.78,,,,,57092376.0,49549540.0,49549540.0,,--,34453640.0,--,230370027.0,193061959.0,--,--,37308068.0,--,--,37308068.0,--,25341312.0,31751064.0,-15095900,49549540,--,,,,,,,,,,,
1303,南亞塑膠,,,,19642812.0,,8866335,,--,--,,,,,,,45930928,--,-127548,6.65,,,,,61525186.0,52658851.0,52658851.0,,--,45803380.0,--,333061560.0,284054265.0,--,--,49007295.0,--,56290,49063585.0,--,29420773.0,32104413.0,-6855471,52746021,-87170,,,,,,,,,,,
1304,台聚,,,,3861941.0,,654078,,7467,--,,,,,,,366533,--,1448706,0.5,,,,,2522427.0,1868349.0,1875816.0,,--,1815239.0,--,60892513.0,55097773.0,--,--,5794740.0,--,--,5794740.0,--,1932799.0,589628.0,-60577,539935,1335881,,,,,,,,,,,
1305,華夏,,,,1129640.0,,305699,,7467,--,,,,,,,1289043,--,79337,2.52,,,,,1654352.0,1348653.0,1356120.0,,--,1368380.0,--,15192621.0,12490058.0,--,--,2702563.0,--,--,2702563.0,--,1572923.0,81429.0,12260,1276156,79964,,,,,,,,,,,
1307,三芳化工,,,,1547231.0,,80608,,--,--,,,,,,,510966,--,--,0.76,,,,,383541.0,302933.0,302933.0,,--,510966.0,--,9492260.0,7564352.0,--,--,1927908.0,--,--,1927908.0,--,380677.0,2864.0,208033,302933,--,,,,,,,,,,,
1308,亞聚,,,,212484.0,,30037,,--,--,,,,,,,-158949,0,--,0.52,,,,,316863.0,286826.0,286826.0,,--,-158949.0,0,6375134.0,6090668.0,--,--,284466.0,--,--,284466.0,--,71982.0,244881.0,-445775,286826,--,,,,,,,,,,,
1309,台達化工,,,,766125.0,,123279,,--,--,,,,,,,83700,--,--,0.63,,,,,331252.0,207973.0,207973.0,,--,83700.0,--,21683702.0,20639959.0,--,--,1043743.0,--,--,1043743.0,--,277618.0,53634.0,-124273,207973,--,,,,,,,,,,,
1310,台苯,,,,441995.0,,360871,,--,--,,,,,,,1036567,--,-30259,2.3,,,,,1547665.0,1186794.0,1186794.0,,--,1006308.0,--,15382654.0,13405660.0,--,--,1976994.0,--,--,1976994.0,--,1534999.0,12666.0,-180486,1216401,-29607,,,,,,,,,,,
1312,國喬石化,,,,1316510.0,,906207,,--,--,,,,,,,2633570,--,149734,3.26,,,,,4056948.0,3150741.0,3150741.0,,--,2783304.0,--,24741138.0,20685790.0,--,--,4055348.0,--,--,4055348.0,--,2738838.0,1318110.0,-367437,2960106,190635,,,,,,,,,,,
1313,聯成,,,,2026579.0,,195269,,--,--,,,,,,,-742207,--,0,0.59,,,,,948879.0,753610.0,753610.0,,--,-742207.0,--,61258498.0,58153633.0,--,--,3104865.0,--,--,3104865.0,--,1078286.0,-129407.0,-1495817,753610,0,,,,,,,,,,,
1314,中石化,,,,2101077.0,,395955,,--,--,,,,,,,3763808,--,-4425,1.59,,,,,4676950.0,4280995.0,4280995.0,,--,3759383.0,--,38503121.0,33326959.0,--,--,5176162.0,--,-3,5176159.0,--,3075082.0,1601868.0,-521612,4290269,-9274,,,,,,,,,,,
1315,達新工業,,,,390973.0,,13362,,--,--,,,,,,,-49627,--,-99,1.2,,,,,243233.0,229871.0,229871.0,,--,-49726.0,--,2543342.0,2161263.0,--,--,382079.0,--,--,382079.0,--,-8894.0,252127.0,-279597,229468,403,,,,,,,,,,,
