公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,1057100.0,,,,--,--,,,,,,,993546,--,-841896,0.23,,,,,1675274.0,,1163708.0,1163708.0,,--,151650.0,--,21179771.0,18181041.0,--,--,2998730.0,--,--,2998730.0,--,1941630.0,-266356.0,511566,-1012058,832244,331464,,,,,,,,,,,
1102,亞泥,,,,489990.0,,,,--,--,,,,,,,-1438230,--,-847071,0.08,,,,,120681.0,,145793.0,145793.0,,--,-2285301.0,--,12512699.0,11579630.0,--,--,933069.0,859,0,932210.0,--,442220.0,-321539.0,-25112,-2431094,236681,-90888,,,,,,,,,,,
1103,嘉泥,,,,108263.0,,,,--,--,,,,,,,881885,--,38341,-0.17,,,,,-88529.0,,-107868.0,-107868.0,,--,920226.0,--,598477.0,465922.0,--,--,132555.0,--,--,132555.0,--,24292.0,-112821.0,19339,1028094,-111320,3452,,,,,,,,,,,
1104,環球水泥,,,,91360.0,,,,--,--,,,,,,,5702,--,-4622,0.45,,,,,286359.0,,279247.0,279247.0,,--,1080.0,--,1100655.0,961614.0,--,--,139041.0,--,--,139041.0,--,47681.0,238678.0,7112,-278167,283869,-4622,,,,,,,,,,,
1108,幸福水泥,,,,52885.0,,,,-322,--,,,,,,,6152,--,-125,0.05,,,,,22966.0,,18967.0,18645.0,,--,6027.0,--,894903.0,814049.0,--,--,80854.0,--,--,80854.0,220,28189.0,-5223.0,3999,-12618,18766,-121,,,,,,,,,,,
1109,信大水泥,,,,85420.0,,,,--,--,,,,,,,-29775,--,-23450,0.09,,,,,52517.0,,44450.0,44450.0,,--,-53225.0,--,970001.0,830308.0,--,--,139693.0,--,--,139693.0,--,54273.0,-1756.0,8067,-97675,33282,11168,,,,,,,,,,,
1110,東泥,,,,21028.0,,,,--,--,,,,,,,96378,--,-1913,0.04,,,,,38443.0,,23327.0,23327.0,,--,94465.0,--,352667.0,362792.0,--,--,-10125.0,--,--,-10125.0,--,-31153.0,69596.0,15116,71138,25243,-1916,,,,,,,,,,,
1201,味全公司,,,,1066529.0,,,,--,--,,,,,,,-160568,--,139604,0.09,,,,,234471.0,,186714.0,186714.0,,--,-20964.0,--,3597795.0,2657454.0,--,--,940341.0,--,--,940341.0,--,-126188.0,360659.0,47757,-207678,46722,139992,,,,,,,,,,,
1203,味王公司,,,,220915.0,,,,--,--,,,,,,,24671,--,54604,0.37,,,,,230934.0,,164142.0,164142.0,,--,79275.0,--,1544107.0,1065648.0,--,--,478459.0,0,0,478459.0,--,257544.0,-26610.0,66792,-84867,88799,75343,,,,,,,,,,,
1210,大成長城,,,,1717341.0,,,,--,--,,,,,,,307670,--,-157611,0.74,,,,,770861.0,,630550.0,630550.0,,--,150059.0,--,18781077.0,16260548.0,--,--,2520529.0,--,--,2520529.0,--,803188.0,-32327.0,140311,-480491,503257,127293,,,,,,,,,,,
1213,大飲,,,,14415.0,,,,--,--,,,,,,,5374,--,--,0.09,,,,,6407.0,,5297.0,5297.0,,--,5374.0,--,163184.0,141812.0,--,--,21372.0,--,--,21372.0,--,6957.0,-550.0,1110,77,5297,--,,,,,,,,,,,
1215,卜蜂企業,,,,359220.0,,,,--,--,,,,,,,245740,--,5524,1.53,,,,,507753.0,,420923.0,420923.0,,--,251264.0,--,4782335.0,3922990.0,--,--,859345.0,--,--,859345.0,-1770,498355.0,9398.0,86830,-169659,410836,10087,,,,,,,,,,,
1216,統一,,,,26461530.0,,,,--,--,,,,,,,1286844,--,1441508,0.79,,,,,8165062.0,,6796384.0,6796384.0,,--,2728352.0,--,96114609.0,64046036.0,--,--,32068573.0,--,--,32068573.0,--,5607043.0,2558019.0,1368678,-4068032,4468589,2327795,,,,,,,,,,,
1217,愛之味,,,,287271.0,,,,0,--,,,,,,,-86272,--,308,-0.05,,,,,-20583.0,,-22853.0,-22853.0,,--,-85964.0,--,933729.0,655161.0,--,--,278568.0,--,--,278568.0,--,-8703.0,-11880.0,2270,-63111,-25672,2819,,,,,,,,,,,
1218,泰山企業,,,,292185.0,,,,--,--,,,,,,,7993,--,42,0.0,,,,,1350.0,,1320.0,1320.0,,--,8035.0,--,1790165.0,1514838.0,--,--,275327.0,329,832,275830.0,--,-16355.0,17705.0,30,6715,1278,42,,,,,,,,,,,
