公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,2429709.0,,3863896,,--,--,,,,,,,16290317,--,628305,2.14,,,,,14440201.0,10576305.0,10576305.0,,--,16918622.0,--,57500246.0,41440890.0,--,--,16059356.0,--,--,16059356.0,--,13629647.0,810554.0,6342317,10009630,566675,,,,,,,,,,,
1102,亞泥,,,,1605059.0,,2058123,,--,--,,,,,,,10178898,--,1714027,1.98,,,,,9839058.0,7780935.0,7780935.0,,--,11892925.0,--,39009089.0,29679533.0,--,--,9329556.0,0,518,9330074.0,--,7725015.0,2114043.0,4111990,6226635,1554300,,,,,,,,,,,
1103,嘉泥,,,,166691.0,,86443,,315683,--,,,,,,,1869002,--,75481,0.62,,,,,212406.0,125963.0,441646.0,,--,1944483.0,--,1000927.0,856092.0,--,--,144835.0,--,--,144835.0,--,-21856.0,234262.0,1502837,399116,42530,,,,,,,,,,,
1104,環球水泥,,,,193684.0,,69343,,--,--,,,,,,,505348,--,-4377,0.63,,,,,477741.0,408398.0,408398.0,,--,500971.0,--,2314855.0,2049605.0,--,--,265250.0,--,--,265250.0,--,71566.0,406175.0,92573,412775,-4377,,,,,,,,,,,
1108,幸福水泥,,,,111128.0,,-25869,,-178,--,,,,,,,-12592,--,-1131,-0.02,,,,,-33844.0,-7975.0,-8153.0,,--,-13723.0,--,1684246.0,1621869.0,--,--,62377.0,--,--,62377.0,16056,-32695.0,-1149.0,-5570,-7022,-1131,,,,,,,,,,,
1109,信大水泥,,,,190215.0,,254950,,--,--,,,,,,,258482,--,149551,0.69,,,,,647059.0,392109.0,392109.0,,--,408033.0,--,2809557.0,1987278.0,--,--,822279.0,--,--,822279.0,--,632064.0,14995.0,15924,248086,144023,,,,,,,,,,,
1110,東泥,,,,51465.0,,-2244,,--,--,,,,,,,74397,--,91,0.1,,,,,53178.0,55422.0,55422.0,,--,74488.0,--,792194.0,724213.0,--,--,67981.0,--,--,67981.0,--,16516.0,36662.0,19066,55288,134,,,,,,,,,,,
1201,味全公司,,,,2539722.0,,-81154,,--,--,,,,,,,117650,--,-113255,0.12,,,,,-132345.0,-51191.0,-51191.0,,--,4395.0,--,8828716.0,6163547.0,--,--,2665169.0,--,--,2665169.0,--,125447.0,-257792.0,55586,62156,-113347,,,,,,,,,,,
1203,味王公司,,,,522763.0,,159368,,0,--,,,,,,,231008,--,140607,0.86,,,,,491057.0,331689.0,331689.0,,--,371615.0,--,2946087.0,1981033.0,--,--,965054.0,0,0,965054.0,--,442291.0,48766.0,39926,203280,128409,,,,,,,,,,,
1210,大成長城,,,,3869947.0,,285045,,--,--,,,,,,,1247917,--,225950,1.64,,,,,1589289.0,1304244.0,1304244.0,,--,1473867.0,--,34984170.0,29999438.0,--,--,4984732.0,--,--,4984732.0,--,1114785.0,474504.0,169623,1119070,185174,,,,,,,,,,,
1213,大飲,,,,29207.0,,1530,,--,--,,,,,,,2003,--,--,0.04,,,,,3546.0,2016.0,2016.0,,--,2003.0,--,292227.0,261868.0,--,--,30359.0,--,--,30359.0,--,1152.0,2394.0,-13,2016,--,,,,,,,,,,,
1215,卜蜂企業,,,,774387.0,,160200,,--,--,,,,,,,432712,--,18898,1.47,,,,,571432.0,411232.0,411232.0,,--,451610.0,--,10220457.0,8870867.0,--,--,1349590.0,--,--,1349590.0,-1092,574111.0,-2679.0,40378,393036,18196,,,,,,,,,,,
1216,統一,,,,58344203.0,,5113012,,--,--,,,,,,,11064497,--,5295597,1.72,,,,,20293627.0,15180615.0,15180615.0,,--,16360094.0,--,214645776.0,141454456.0,--,--,73191320.0,--,--,73191320.0,--,14847117.0,5446510.0,1179479,9770190,5410425,,,,,,,,,,,
1217,愛之味,,,,610155.0,,-9808,,0,--,,,,,,,139679,--,8822,0.0,,,,,-1418.0,8390.0,8390.0,,--,148501.0,--,1982512.0,1328101.0,--,--,654411.0,--,--,654411.0,--,44256.0,-45674.0,140111,1778,6612,,,,,,,,,,,
1218,泰山企業,,,,638478.0,,12534,,--,--,,,,,,,215308,--,172,0.47,,,,,228397.0,215863.0,215863.0,,--,215480.0,--,3846852.0,3162170.0,--,--,684682.0,798,539,684423.0,--,45945.0,182452.0,-383,215691,172,,,,,,,,,,,
1219,福壽實業,,,,429431.0,,18943,,--,--,,,,,,,83594,--,-22534,0.26,,,,,79402.0,60459.0,60459.0,,--,61060.0,--,5850333.0,5347619.0,--,4000,506714.0,--,--,506714.0,--,77283.0,2119.0,601,83081,-22622,,,,,,,,,,,
1220,台榮,,,,104012.0,,9880,,--,--,,,,,,,57966,--,8731,0.33,,,,,76213.0,66333.0,66333.0,,--,66697.0,--,1203975.0,1038539.0,--,--,165436.0,--,--,165436.0,--,61424.0,14789.0,364,57598,8735,,,,,,,,,,,
1225,福懋油,,,,299108.0,,44552,,--,--,,,,,,,164691,--,24519,0.72,,,,,226327.0,181775.0,181775.0,,--,189210.0,--,5463107.0,4981929.0,--,--,481178.0,64,--,481114.0,17506,199512.0,26815.0,7435,157256,24519,,,,,,,,,,,
1227,佳格,,,,2426062.0,,268868,,--,--,,,,,,,1211860,--,10673,1.21,,,,,1364195.0,1095327.0,1095327.0,,--,1222533.0,--,12421997.0,8742152.0,--,--,3679845.0,--,--,3679845.0,--,1253783.0,110412.0,127206,1094694,633,,,,,,,,,,,
1229,聯華實業,,,,267586.0,,38364,,--,--,,,,,,,1722304,--,-1022,1.24,,,,,1227716.0,1189352.0,1189352.0,,--,1721282.0,--,2488302.0,2078908.0,--,--,409394.0,--,--,409394.0,--,141808.0,1085908.0,531930,1190651,-1299,,,,,,,,,,,
1231,聯華食品,,,,552930.0,,49502,,--,--,,,,,,,208436,--,296,1.27,,,,,251955.0,202453.0,202453.0,,--,208732.0,--,3767881.0,2996087.0,--,--,771794.0,--,--,771794.0,--,218864.0,33091.0,6279,202349,104,,,,,,,,,,,
1232,大統益,,,,363352.0,,107904,,--,--,,,,,,,430235,--,9404,2.69,,,,,547316.0,439412.0,439412.0,,--,439639.0,--,8382090.0,7492684.0,--,--,889406.0,--,--,889406.0,--,526054.0,21262.0,227,430011,9401,,,,,,,,,,,
1233,天仁,,,,535104.0,,22906,,0,--,,,,,,,179886,--,245,1.04,,,,,117196.0,94290.0,94290.0,,--,180131.0,0,1086757.0,457461.0,0,0,629296.0,0,0,629296.0,--,94192.0,23004.0,85841,94160,130,,,,,,,,,,,
1234,黑松,,,,1050290.0,,44787,,--,--,,,,,,,295336,--,--,0.72,,,,,333518.0,288731.0,288731.0,,--,295336.0,--,4454176.0,3374339.0,--,--,1079837.0,--,--,1079837.0,--,29547.0,303971.0,6605,288731,--,,,,,,,,,,,
1235,興泰,,,,8071.0,,-646,,--,--,,,,,,,1136955,--,--,0.33,,,,,27704.0,28350.0,28350.0,,--,1136955.0,--,13381.0,13454.0,--,--,-73.0,--,--,-73.0,--,-8144.0,35848.0,1108605,28350,--,,,,,,,,,,,
1236,宏亞食品,,,,241881.0,,490,,--,--,,,,,,,109074,--,0,-0.16,,,,,-16964.0,-17454.0,-17454.0,,--,109074.0,--,898907.0,679554.0,--,--,219353.0,--,--,219353.0,--,-22528.0,5564.0,126528,-17454,--,,,,,,,,,,,
1256,鮮活果汁-KY,,,,270720.0,,77660,,--,--,,,,,,,228073,--,96,7.21,,,,,299637.0,221977.0,221977.0,,--,228169.0,--,1634338.0,1080644.0,--,--,553694.0,--,--,553694.0,--,282974.0,16663.0,6192,221730,247,,,,,,,,,,,
1262,綠悅-KY,,,,203779.0,,-27821,,--,--,,,,,,,-64897,--,--,-1.13,,,,,-211923.0,-184102.0,-184102.0,,--,-64897.0,--,2137649.0,2089612.0,--,--,48037.0,--,--,48037.0,--,-155742.0,-56181.0,119205,-184102,--,,,,,,,,,,,
1301,台塑,,,,5629050.0,,5169657,,--,--,,,,,,,47718934,--,--,4.56,,,,,34207439.0,29037782.0,29037782.0,,--,47718934.0,--,116643451.0,95774876.0,--,--,20868575.0,--,--,20868575.0,--,15239525.0,18967914.0,18681152,29037782,--,,,,,,,,,,,
1303,南亞塑膠,,,,9585832.0,,5432212,,--,--,,,,,,,42371827,--,-197224,3.8,,,,,35302693.0,29870481.0,29870481.0,,--,42174603.0,--,168674081.0,141237162.0,--,--,27436919.0,--,24272,27461191.0,--,17875359.0,17427334.0,12304122,30134392,-263911,,,,,,,,,,,
1304,台聚,,,,1900458.0,,530423,,4057,--,,,,,,,693612,--,1329404,0.49,,,,,2194531.0,1664108.0,1668165.0,,--,2023016.0,--,30332479.0,26618432.0,--,--,3714047.0,--,--,3714047.0,--,1813589.0,380942.0,354851,527430,1140735,,,,,,,,,,,
1305,華夏,,,,590365.0,,218463,,4057,--,,,,,,,935918,--,77717,1.82,,,,,1216350.0,997887.0,1001944.0,,--,1013635.0,--,7822558.0,6052776.0,--,--,1769782.0,--,--,1769782.0,--,1179417.0,36933.0,11691,924202,77742,,,,,,,,,,,
1307,三芳化工,,,,791609.0,,48296,,--,--,,,,,,,340909,--,--,0.41,,,,,212461.0,164165.0,164165.0,,--,340909.0,--,4457733.0,3494471.0,--,--,963262.0,--,--,963262.0,--,171653.0,40808.0,176744,164165,--,,,,,,,,,,,
1308,亞聚,,,,105424.0,,22516,,--,--,,,,,,,19048,--,--,0.29,,,,,183834.0,161318.0,161318.0,,--,19048.0,--,2961396.0,2819950.0,--,--,141446.0,--,--,141446.0,--,36022.0,147812.0,-142270,161318,--,,,,,,,,,,,
1309,台達化工,,,,398511.0,,122172,,--,--,,,,,,,347046,--,--,1.17,,,,,504376.0,382204.0,382204.0,,--,347046.0,--,10788137.0,9945162.0,--,--,842975.0,--,--,842975.0,--,444464.0,59912.0,-35158,382204,--,,,,,,,,,,,
1310,台苯,,,,248510.0,,225754,,--,--,,,,,,,683599,--,-21850,1.4,,,,,940042.0,714288.0,714288.0,,--,661749.0,--,8076162.0,6907983.0,--,--,1168179.0,--,--,1168179.0,--,919669.0,20373.0,-52539,737651,-23363,,,,,,,,,,,
1312,國喬石化,,,,682284.0,,629088,,--,--,,,,,,,2035892,--,167050,1.96,,,,,2469925.0,1840837.0,1840837.0,,--,2202942.0,--,12291297.0,10112383.0,--,--,2178914.0,--,--,2178914.0,--,1496630.0,973295.0,362105,1776198,64639,,,,,,,,,,,
1313,聯成,,,,1126696.0,,204192,,--,--,,,,,,,769061,--,0,0.46,,,,,784587.0,580395.0,580395.0,,--,769061.0,0,30044450.0,28004862.0,--,--,2039588.0,--,--,2039588.0,--,912892.0,-128305.0,188666,580395,--,,,,,,,,,,,
1314,中石化,,,,928268.0,,26052,,--,--,,,,,,,2467348,--,148,0.86,,,,,2346575.0,2320523.0,2320523.0,,--,2467496.0,--,18942433.0,16297625.0,--,--,2644808.0,--,0,2644808.0,--,1716540.0,630035.0,146973,2322552,-2029,,,,,,,,,,,
1315,達新工業,,,,195442.0,,-12849,,--,--,,,,,,,270102,--,-438,-0.09,,,,,-30120.0,-17271.0,-17271.0,,--,269664.0,--,1175379.0,1011132.0,--,--,164247.0,--,--,164247.0,--,-31195.0,1075.0,286935,-17038,-233,,,,,,,,,,,
1316,上曜,,,,191045.0,,-2709,,--,--,,,,,,,271524,--,57886,1.99,,,,,217286.0,219995.0,219995.0,,--,329410.0,--,1184595.0,787229.0,--,--,397366.0,--,--,397366.0,--,206321.0,10965.0,109415,232306,-12311,,,,,,,,,,,
