公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,3275832.0,,,,--,--,,,,,,,10806091,--,2313001,1.34,,,,,9226556.0,,6921541.0,6921541.0,,--,13119092.0,--,68952108.0,56428105.0,--,--,12524003.0,--,--,12524003.0,--,9248171.0,-21615.0,2305015,6197551,4948812,1972729,,,,,,,,,,,
1102,亞泥,,,,1763462.0,,,,--,--,,,,,,,6660987,--,273522,1.2,,,,,5229038.0,,4329452.0,4329452.0,,--,6934509.0,--,45349036.0,39387373.0,--,--,5961663.0,822,0,5960841.0,--,4197379.0,1031659.0,899586,2605057,3777548,551904,,,,,,,,,,,
1103,嘉泥,,,,332866.0,,,,--,--,,,,,,,2974387,--,136747,-0.07,,,,,12335.0,,-11400.0,-11400.0,,--,3111134.0,--,1565230.0,1329146.0,--,--,236084.0,--,--,236084.0,--,-96782.0,109117.0,23735,3122534,-43054,31654,,,,,,,,,,,
1104,環球水泥,,,,288620.0,,,,--,--,,,,,,,636812,--,-18063,1.57,,,,,1068065.0,,1005954.0,1005954.0,,--,618749.0,--,3287855.0,2864059.0,--,--,423796.0,--,--,423796.0,--,135176.0,932889.0,62111,-387205,1024017,-18063,,,,,,,,,,,
1108,幸福水泥,,,,166843.0,,,,-634,--,,,,,,,170,--,-1351,0.05,,,,,29992.0,,21284.0,20650.0,,--,-1181.0,--,2592867.0,2387661.0,--,--,205206.0,--,--,205206.0,1490,39853.0,-9861.0,8708,-21831,21999,-1349,,,,,,,,,,,
1109,信大水泥,,,,301403.0,,,,--,--,,,,,,,253134,--,100579,0.72,,,,,461791.0,,379863.0,379863.0,,--,353713.0,--,3743408.0,3020421.0,--,--,722987.0,--,--,722987.0,--,421584.0,40207.0,81928,-26150,269987,109876,,,,,,,,,,,
1110,東泥,,,,56660.0,,,,--,--,,,,,,,51920,--,-1996,0.01,,,,,5035.0,,5323.0,5323.0,,--,49924.0,--,1141614.0,1182437.0,--,--,-40823.0,--,--,-40823.0,--,-97483.0,102518.0,-288,44601,7316,-1993,,,,,,,,,,,
1201,味全公司,,,,3877405.0,,,,--,--,,,,,,,-19628,--,91746,0.17,,,,,364471.0,,178037.0,178037.0,,--,72118.0,--,13169205.0,9190525.0,--,--,3978680.0,--,--,3978680.0,--,101275.0,263196.0,186434,-105919,86158,91879,,,,,,,,,,,
1203,味王公司,,,,725406.0,,,,0,--,,,,,,,324056,--,228205,1.49,,,,,791758.0,,577602.0,577602.0,,--,552261.0,--,4633517.0,3133874.0,--,--,1499643.0,0,0,1499643.0,--,774237.0,17521.0,214156,-25341,354369,223233,,,,,,,,,,,
1210,大成長城,,,,5416254.0,,,,--,--,,,,,,,1541480,--,-11038,2.24,,,,,2252816.0,,1762218.0,1762218.0,,--,1530442.0,--,55967032.0,48410880.0,--,--,7556152.0,--,--,7556152.0,--,2139898.0,112918.0,490598,-231776,1533851,228367,,,,,,,,,,,
