公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,10876929.0,5085162,9750141,113.89,11.55,25356331,24179212,4.86
1102,亞泥,8318969.0,3165899,6395353,162.76,30.07,19390605,16573879,16.99
1103,嘉泥,166883.0,108448,173573,53.88,-3.85,452391,471257,-4.00
1104,環球水泥,437140.0,270638,437497,61.52,-0.08,1187296,1166097,1.81
1108,幸福水泥,313093.0,168065,314840,86.29,-0.55,834347,832661,0.20
1109,信大水泥,541582.0,149960,402999,261.15,34.38,1360434,1061380,28.17
1110,東泥,147819.0,82927,161920,78.25,-8.70,417039,412492,1.10
1201,味全公司,1598137.0,1358770,1380961,17.61,15.72,4540400,3902748,16.33
1203,味王公司,514903.0,443171,506069,16.18,1.74,1502182,1455828,3.18
1210,大成長城,6130106.0,4971488,5059713,23.30,21.15,18278107,17199103,6.27
1213,大飲,29047.0,39925,34897,-27.24,-16.76,132398,149090,-11.19
1215,卜蜂企業,1686202.0,1463626,1711634,15.20,-1.48,5035297,4957240,1.57
1216,統一,36804987.0,29826477,35875546,23.39,2.59,107775873,104288263,3.34
1217,愛之味,313572.0,303197,364432,3.42,-13.95,996280,1028435,-3.12
1218,泰山企業,599053.0,467918,656123,28.02,-8.69,1773455,1867924,-5.05
1219,福壽實業,1055161.0,715431,1053098,47.48,0.19,2970407,2870316,3.48
1220,台榮,208035.0,143511,204990,44.96,1.48,613283,574528,6.74
1225,福懋油,880257.0,633413,974488,38.97,-9.66,2477770,2794671,-11.33
1227,佳格,1586997.0,1388035,1437583,14.33,10.39,7337166,7414473,-1.04
1229,聯華實業,420926.0,314549,448994,33.81,-6.25,1228654,1224442,0.34
1231,聯華食品,631653.0,572959,627092,10.24,0.72,2118070,2016950,5.01
1232,大統益,1437562.0,1101574,1502080,30.50,-4.29,4159273,4117718,1.00
1233,天仁,180929.0,161835,166183,11.79,8.87,569109,555153,2.51
1234,黑松,543860.0,611984,678377,-11.13,-19.82,2145257,2315768,-7.36
1235,興泰,1830.0,1114,2540,64.27,-27.95,4696,6033,-22.16
1236,宏亞食品,94089.0,78912,143298,19.23,-34.34,499949,571543,-12.52
1702,南僑投控,1515180.0,983725,1459853,54.02,3.78,4217436,4270013,-1.23
1737,臺鹽,236758.0,164679,253495,43.76,-6.60,676048,681388,-0.78
1301,台塑,18695341.0,14815825,20898368,26.18,-10.54,53012075,54167368,-2.13
1303,南亞塑膠,24967277.0,20957969,29059122,19.13,-14.08,70920119,82219991,-13.74
1304,台聚,4757905.0,3725362,5226687,27.71,-8.96,13487848,14664637,-8.02
1305,華夏,1153354.0,881123,1401774,30.89,-17.72,3227713,4144197,-22.11
