公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2867,三商美邦,12842861.0,17589293,12650850,-26.98,1.51,63321622,60853728,4.05
2880,華南金,3847213.0,4239989,3568251,-9.26,7.81,16003662,14486824,10.47
2881,富邦金,35599414.0,27271092,36125019,30.53,-1.45,144863328,148301756,-2.31
2882,國泰金,52261520.0,52142558,54886096,0.22,-4.78,177347601,175924302,0.80
2883,開發金,23529250.0,20890073,18512625,12.63,27.09,91460313,76469346,19.60
2884,玉山金控,4335471.0,4559702,3968722,-4.91,9.24,17806062,16403986,8.54
2885,元大金,8688309.0,8159465,8544705,6.48,1.68,33703380,32669129,3.16
2886,兆豐金,5156077.0,5726868,4566358,-9.96,12.91,21843188,19764588,10.51
2887,台新金控,3517536.0,3672876,3333455,-4.22,5.52,14593809,13443695,8.55
2888,新光金,22580675.0,18831809,20320265,19.90,11.12,90545057,91035645,-0.53
2889,國票金控,476438.0,631756,412166,-24.58,15.59,2109354,1906648,10.63
2890,永豐金控,2804741.0,3105586,2746914,-9.68,2.10,12562501,10871095,15.55
2891,中信金,21299701.0,23930085,21909860,-10.99,-2.78,101699625,98019355,3.75
2892,第一金控,4769698.0,5593567,4932023,-14.72,-3.29,20388406,20022762,1.82
2897,王道銀行,760355.0,739702,651942,2.79,16.62,2986571,2454176,21.69
5876,上海商銀,3407998.0,3281629,2745398,3.85,24.13,12932276,11071726,16.80
5880,合庫金,3860556.0,4064276,3486921,-5.01,10.71,16026785,15824921,1.27
6005,群益證,507649.0,580606,595385,-12.56,-14.73,2311565,3426505,-32.53
6024,群益期,151788.0,165555,213005,-8.31,-28.73,611782,1318037,-53.58
1432,大魯閣實業,98458.0,115421,68125,-14.69,44.52,414904,269986,53.67
2601,益航,615802.0,714226,599884,-13.78,2.65,2753165,2631774,4.61
2614,東森,199844.0,246451,1273195,-18.91,-84.30,888906,5193881,-82.88
2901,欣欣大眾,10802.0,10488,10750,2.99,0.48,42887,43377,-1.12
2903,遠百,3040550.0,3155910,3151116,-3.65,-3.50,12266408,12493827,-1.82
2905,三商,16725922.0,20166595,9533325,-17.06,75.44,81783366,74687589,9.50
2906,高林實,632884.0,579356,553245,9.23,14.39,2371845,2214408,7.10
2908,特力,2957761.0,3016548,2955347,-1.94,0.08,12836594,13303201,-3.50
2910,統領,34299.0,34478,30593,-0.51,12.11,137745,152222,-9.51
2911,麗嬰房,409675.0,460857,506179,-11.10,-19.06,1802928,2154108,-16.30
2912,統一超,20686276.0,20707681,19706059,-0.10,4.97,81771672,78653804,3.96
2913,台灣農林,25860.0,25382,22261,1.88,16.16,100481,85978,16.86
2915,潤泰全球,285873.0,262084,379475,9.07,-24.66,1154922,6777798,-82.96
8443,阿瘦,110823.0,115334,127866,-3.91,-13.32,515991,564090,-8.52
8454,富邦媒,3744437.0,3914174,3094828,-4.33,20.99,15480064,13278637,16.57
1435,中福國際,1787.0,1755,3025,1.82,-40.92,7151,12134,-41.06
1437,勤益投控,42797.0,46061,45443,-7.08,-5.82,237573,222124,6.95
