公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,11753303.0,10436223,8387381,12.62,40.13,101410658,77339459,31.12
1102,亞泥,7657714.0,7703807,5840273,-0.59,31.11,68573326,51189309,33.96
1103,嘉泥,178401.0,166209,167398,7.33,6.57,1673608,1732626,-3.40
1104,環球水泥,457241.0,415742,336159,9.98,36.01,3893683,3624014,7.44
1108,幸福水泥,300242.0,256381,259826,17.10,15.55,2760665,2852787,-3.22
1109,信大水泥,729870.0,690788,377596,5.65,93.29,5446888,4121004,32.17
1110,東泥,177767.0,127730,170205,39.17,4.44,1353931,1311819,3.21
1201,味全公司,1772387.0,1857221,1559834,-4.56,13.62,16271676,14729165,10.47
1203,味王公司,515554.0,520954,513465,-1.03,0.40,5048065,5157934,-2.13
1210,大成長城,6123232.0,6405654,6551300,-4.40,-6.53,59666930,62851044,-5.06
1213,大飲,36069.0,36194,42390,-0.34,-14.91,537716,578381,-7.03
1215,卜蜂企業,1871127.0,1769540,1689595,5.74,10.74,17678186,16449123,7.47
1216,統一,35398601.0,37539418,33118533,-5.70,6.88,365657798,338156924,8.13
1217,愛之味,244422.0,417077,261965,-41.39,-6.69,3783268,3633876,4.11
1218,泰山企業,637382.0,736565,646029,-13.46,-1.33,6807909,6566875,3.67
1219,福壽實業,1019854.0,934908,911115,9.08,11.93,9734039,8928702,9.01
1220,台榮,250718.0,238953,187754,4.92,33.53,2193304,1887582,16.19
1225,福懋油,932581.0,937936,874672,-0.57,6.62,9277446,8844793,4.89
1227,佳格,1904523.0,3032428,2094827,-37.19,-9.08,21398795,21465549,-0.31
1229,聯華實業,427306.0,409979,403449,4.22,5.91,4193324,3949068,6.18
1231,聯華食品,654976.0,680585,575902,-3.76,13.73,6648528,5888544,12.90
1232,大統益,1463517.0,1300638,1359056,12.52,7.68,14019455,14059150,-0.28
1233,天仁,159372.0,200800,163721,-20.63,-2.65,1822037,1772908,2.77
1234,黑松,714538.0,766929,753622,-6.83,-5.18,7718233,7799947,-1.04
1235,興泰,3281.0,5225,5169,-37.20,-36.52,53312,68887,-22.60
1236,宏亞食品,152475.0,178724,155260,-14.68,-1.79,1563191,1445655,8.13
1702,南僑投控,1455784.0,1551978,1482167,-6.19,-1.78,14953172,14037085,6.52
1737,臺鹽,250979.0,231095,220738,8.60,13.69,2518272,2312573,8.89
1301,台塑,19685549.0,18080414,16581143,8.87,18.72,193703130,170222983,13.79
1303,南亞塑膠,27512745.0,28593061,26062520,-3.77,5.56,282874647,250705775,12.83
1304,台聚,5189645.0,4880457,4754780,6.33,9.14,50827905,47608490,6.76
1305,華夏,1298161.0,1053448,1090093,23.22,19.08,12596790,12018078,4.81
1307,三芳化工,891249.0,834841,782311,6.75,13.92,7958642,8435377,-5.65
1308,亞聚,607727.0,480267,574113,26.53,5.85,5096642,5381015,-5.28
1309,台達化工,1735529.0,1859668,1724003,-6.67,0.66,18319951,16072107,13.98
1310,台苯,1204873.0,1442057,1231120,-16.44,-2.13,13186280,12177851,8.28
1312,國喬石化,2167307.0,2075519,2025626,4.42,6.99,21196113,19100767,10.96
1313,聯成,5506316.0,4725952,4161561,16.51,32.31,49432445,40367548,22.45
1314,中石化,3303111.0,3659375,2542398,-9.73,29.92,33213864,26931464,23.32
1315,達新工業,209035.0,204765,169833,2.08,23.08,2119317,2249875,-5.80
1321,大洋,382296.0,284111,353993,34.55,7.99,3911622,3649609,7.17
1323,永裕,335441.0,328161,296872,2.21,12.99,3121393,2656269,17.51
1324,地球工業,96976.0,83503,115690,16.13,-16.17,944441,1001998,-5.74
1325,�琱j,74151.0,75146,83092,-1.32,-10.76,737490,731448,0.82
1326,台化,36070001.0,36939138,31681227,-2.35,13.85,342358816,291311076,17.52
4306,炎洲,1595984.0,1685426,1570061,-5.30,1.65,16752361,14761482,13.48
1402,遠東新,20682552.0,21467242,18506751,-3.65,11.75,187868936,178169606,5.44
1409,新纖,3617635.0,3784347,3237766,-4.40,11.73,35891744,30340597,18.29
1410,南染,43931.0,36350,41559,20.85,5.70,431399,447710,-3.64
1413,宏洲纖維,343989.0,325589,256082,5.65,34.32,3061065,2594819,17.96
1414,東和,93731.0,75669,59824,23.86,56.67,838366,634793,32.06
1416,廣豐,19381.0,48653,31927,-60.16,-39.29,232021,2181801,-89.36
1417,嘉裕,137527.0,101137,164350,35.98,-16.32,1210361,1729886,-30.03
1418,東華,40738.0,38783,202065,5.04,-79.83,615336,1435865,-57.14
1419,新紡,162612.0,153430,152643,5.98,6.53,1294916,1170680,10.61
1423,利華羊毛,54597.0,59975,67146,-8.96,-18.68,649351,493152,31.67
1434,福懋興業,3625792.0,3774128,3214669,-3.93,12.78,37430170,34144083,9.62
1439,中和羊毛,15494.0,33552,27199,-53.82,-43.03,223717,216580,3.29
1440,南紡,2120558.0,2016456,1812447,5.16,16.99,20938808,17329873,20.82
1441,大東紡織,129378.0,114677,130174,12.81,-0.61,1338634,1357412,-1.38
1443,立益紡織,80946.0,78431,95941,3.20,-15.62,973549,980707,-0.72
1444,力麗,1196462.0,1014598,976785,17.92,22.48,10588755,9175262,15.40
1445,大宇紡織,115159.0,120959,143715,-4.79,-19.86,1307573,1333227,-1.92
1446,宏和,35066.0,40694,37937,-13.83,-7.56,375854,442059,-14.97
1447,力鵬,1518404.0,1584835,1758395,-4.19,-13.64,15531634,13803887,12.51
1449,佳和實業,217260.0,203454,200034,6.78,8.61,2027583,2208873,-8.20
1451,年興紡織,848355.0,863300,705146,-1.73,20.30,7284461,7792565,-6.52
1452,宏益,165377.0,165268,151594,0.06,9.09,1776051,1754966,1.20
1453,大將,182.0,1795,1636,-89.86,-88.87,27797,56870,-51.12
1454,台富,173258.0,153128,164354,13.14,5.41,1631659,1564707,4.27
1455,集盛,1373599.0,1313573,1316359,4.56,4.34,13389465,12286111,8.98
1456,怡華,39362.0,48022,74272,-18.03,-47.00,397520,648988,-38.74
1457,宜進,516295.0,505552,407744,2.12,26.62,4754457,4150840,14.54
1459,聯發紡織,271089.0,261791,288195,3.55,-5.93,2919559,2748566,6.22
1460,宏遠,918635.0,869240,889502,5.68,3.27,7673083,7084082,8.31
1463,強盛染整,87571.0,80955,41856,8.17,109.21,894228,1656701,-46.02
1464,得力實業,838731.0,818567,802012,2.46,4.57,7397919,6400086,15.59
1465,偉全實業,148869.0,168417,159175,-11.60,-6.47,1465389,1558412,-5.96
1466,聚隆,341237.0,408385,375033,-16.44,-9.01,3497270,3335230,4.85
1467,南緯實業,733415.0,699410,697002,4.86,5.22,6130361,6033884,1.59
1468,昶和纖維,67992.0,72269,35236,-5.91,92.96,760245,503511,50.98
1470,大統新創,71905.0,63650,59114,12.96,21.63,635391,588278,8.00
1472,三洋紡,46210.0,50234,81522,-8.01,-43.31,521575,612111,-14.79
1473,台南企業,407865.0,703900,461467,-42.05,-11.61,7085846,6944443,2.03
1474,弘裕,302267.0,284759,275655,6.14,9.65,3020862,2718477,11.12
1475,本盟光電,3005.0,5267,5555,-42.94,-45.90,46416,112113,-58.59
1476,儒鴻,2703462.0,2185499,2268685,23.69,19.16,22724894,19460460,16.77
1477,聚陽實業,2245170.0,3137792,1992842,-28.44,12.66,20071059,19133178,4.90
4414,如興,1199538.0,1742213,1408963,-31.14,-14.86,14505931,6435498,125.40
4426,利勤實業,201905.0,181106,127151,11.48,58.79,1768201,1607071,10.02
4438,廣越,1335618.0,2234243,1281612,-40.22,4.21,11580623,8879504,30.41
1503,士電,2083678.0,2162647,1971122,-3.65,5.71,20466475,18204431,12.42
1504,東元電機,4023075.0,4187038,4015113,-3.91,0.19,41610287,42007705,-0.94
1506,正道,108621.0,94606,121929,14.81,-10.91,1021978,1134360,-9.90
1507,永大機電,1203253.0,1243219,1240794,-3.21,-3.02,12640909,14301270,-11.60
1513,中興電,1022903.0,1772288,720781,-42.28,41.91,10000470,8700303,14.94
1514,亞力電機,330652.0,320545,372526,3.15,-11.24,3288249,2879884,14.17
1515,力山,780894.0,572481,672321,36.40,16.14,4311043,4253388,1.35
1517,利奇機械,251224.0,233730,190744,7.48,31.70,2452742,2296345,6.81
1519,華城電機,528587.0,617386,637474,-14.38,-17.08,4716339,4406105,7.04
1526,日馳,117500.0,94290,115800,24.61,1.46,1025707,1065827,-3.76
1527,鑽全,277301.0,297283,274864,-6.72,0.88,3132790,3214746,-2.54
1528,恩德,339347.0,409880,392308,-17.20,-13.49,4123780,3631200,13.56
1529,樂士,62985.0,44321,8761,42.11,618.92,237626,272440,-12.77
1530,亞崴機電,371435.0,399121,304444,-6.93,22.00,3988541,3424494,16.47
1531,高林股,195997.0,216247,146136,-9.36,34.11,2186340,1800389,21.43
1532,勤美,1305712.0,2556336,1345380,-48.92,-2.94,14455660,12614458,14.59
1535,中宇,836848.0,863369,939683,-3.07,-10.94,8434042,7270179,16.00
1537,廣隆光電,735734.0,714946,683002,2.90,7.72,7114891,6364770,11.78
1538,正峰新,29211.0,35144,44175,-16.88,-33.87,347827,538114,-35.36
1539,巨庭機械,189320.0,237233,234873,-20.19,-19.39,2278239,2415024,-5.66
1540,喬福機械,71184.0,65927,26846,7.97,165.15,489509,478210,2.36
1541,錩泰,312867.0,292025,275257,7.13,13.66,3025155,2964864,2.03
1558,伸興,499508.0,714020,468019,-30.04,6.72,5745586,4908423,17.05
1560,中砂,452119.0,441340,381755,2.44,18.43,4255798,3740096,13.78
1583,程泰,602296.0,717978,674870,-16.11,-10.75,6962676,6088594,14.35
2049,上銀科技,2650004.0,2809488,1971326,-5.67,34.42,25335007,16987859,49.13
2371,大同,4402936.0,4810866,6768155,-8.47,-34.94,52716487,62497757,-15.65
3167,大量科技,321265.0,353582,339164,-9.13,-5.27,3459032,2868971,20.56
4526,東台,1147074.0,884559,900574,29.67,27.37,9498562,7827229,21.35
4532,瑞智精密,1512093.0,1379446,1664719,9.61,-9.16,18388063,16287792,12.89
4540,全球傳動,338790.0,228022,270161,48.57,25.40,2951299,2179865,35.38
4555,台灣氣立,132429.0,136518,115571,-2.99,14.58,1442173,1202566,19.92
4562,穎漢科技,118915.0,114511,124122,3.84,-4.19,1209139,1205218,0.32
4564,元翎,261683.0,197970,186830,32.18,40.06,2135723,1657445,28.85
4566,時碩工業,294084.0,282592,289774,4.06,1.48,2898155,2783195,4.13
4572,駐龍,93801.0,88713,42444,5.73,120.99,696132,475671,46.34
4576,大銀微系統,205340.0,161383,203585,27.23,0.86,2420541,1921598,25.96
8222,寶一科技,64292.0,60097,64994,6.98,-1.08,667188,698367,-4.46
8374,羅昇,253523.0,287897,275800,-11.93,-8.07,3115273,3148596,-1.05
