公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,11784150.0,11753303,9985897,0.26,18.00,113194808,87325356,29.62
1102,亞泥,7626297.0,7657714,6639248,-0.41,14.86,76199623,57828557,31.76
1103,嘉泥,183786.0,178401,181868,3.01,1.05,1857394,1914494,-2.98
1104,環球水泥,421815.0,457241,381565,-7.74,10.54,4315498,4005579,7.73
1108,幸福水泥,269955.0,300242,258913,-10.08,4.26,3030620,3111700,-2.60
1109,信大水泥,546290.0,729870,673172,-25.15,-18.84,5993178,4794176,25.00
1110,東泥,138622.0,177767,183382,-22.02,-24.40,1492553,1495201,-0.17
1201,味全公司,1633866.0,1772387,1642814,-7.81,-0.54,17905542,16371979,9.36
1203,味王公司,506912.0,515554,493888,-1.67,2.63,5554978,5651822,-1.71
1210,大成長城,6735632.0,6123232,6490644,10.00,3.77,66405448,69341688,-4.23
1213,大飲,26745.0,36069,32994,-25.85,-18.93,564461,611375,-7.67
1215,卜蜂企業,1765886.0,1871127,1699007,-5.62,3.93,19444072,18148130,7.14
1216,統一,33229601.0,35398601,31140541,-6.12,6.70,398887399,369297465,8.01
1217,愛之味,269672.0,244422,253185,10.33,6.51,4052940,3887061,4.26
1218,泰山企業,635927.0,637382,546892,-0.22,16.28,7443836,7113767,4.63
1219,福壽實業,996487.0,1019854,917403,-2.29,8.62,10730526,9846105,8.98
1220,台榮,280415.0,250718,253547,11.84,10.59,2473719,2141129,15.53
1225,福懋油,1029697.0,932581,950447,10.41,8.33,10307143,9795240,5.22
1227,佳格,2519735.0,1904523,2291703,32.30,9.95,23918530,23757252,0.67
1229,聯華實業,452166.0,427306,410026,5.81,10.27,4645490,4359094,6.57
1231,聯華食品,675148.0,654976,557274,3.07,21.15,7323676,6445818,13.61
1232,大統益,1466021.0,1463517,1405095,0.17,4.33,15485475,15464245,0.13
1233,天仁,191187.0,159372,189012,19.96,1.15,2013225,1961920,2.61
1234,黑松,718541.0,714538,691728,0.56,3.87,8436774,8491675,-0.64
