公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,11404254.0,11784150,10986420,-3.22,3.80,124599062,98311776,26.73
1102,亞泥,6548928.0,7626297,7070625,-14.12,-7.37,82748551,64899182,27.50
1103,嘉泥,234983.0,183786,181112,27.85,29.74,2092377,2095606,-0.15
1104,環球水泥,465496.0,421815,399796,10.35,16.43,4780994,4405376,8.52
1108,幸福水泥,300034.0,269955,322754,11.14,-7.03,3330654,3434454,-3.02
1109,信大水泥,707952.0,546290,581701,29.59,21.70,6701130,5375877,24.65
1110,東泥,183634.0,138622,221910,32.47,-17.24,1676187,1717111,-2.38
1201,味全公司,1536834.0,1633866,1345880,-5.93,14.18,19442376,17717859,9.73
1203,味王公司,521085.0,506912,571720,2.79,-8.85,6076062,6223542,-2.36
1210,大成長城,6339590.0,6735632,7129396,-5.87,-11.07,72745039,76471084,-4.87
1213,大飲,29860.0,26745,38138,11.64,-21.70,594321,649513,-8.49
1215,卜蜂企業,1791014.0,1765886,1716870,1.42,4.31,21235086,19865000,6.89
1216,統一,32590936.0,33229601,30552612,-1.92,6.67,431478335,399850077,7.91
1217,愛之味,269710.0,269672,246169,0.01,9.56,4322650,4133230,4.58
1218,泰山企業,546161.0,635927,589954,-14.11,-7.42,7989997,7703721,3.71
1219,福壽實業,981256.0,996487,979504,-1.52,0.17,11711782,10825610,8.18
1220,台榮,270544.0,280415,225477,-3.52,19.98,2744263,2366606,15.95
1225,福懋油,936366.0,1029697,962073,-9.06,-2.67,11243509,10757313,4.51
1227,佳格,3422885.0,2519735,2733418,35.84,25.22,27341415,26490670,3.21
1229,聯華實業,451768.0,452166,441119,-0.08,2.41,5097258,4800213,6.18
1231,聯華食品,793204.0,675148,582256,17.48,36.22,8116880,7028074,15.49
1232,大統益,1463270.0,1466021,1420097,-0.18,3.04,16948746,16884342,0.38
1233,天仁,195176.0,191187,190521,2.08,2.44,2208401,2152441,2.59
1234,黑松,464860.0,718541,601077,-35.30,-22.66,8901634,9092751,-2.10
1235,興泰,2236.0,2042,3359,9.50,-33.43,57590,76510,-24.72
1236,宏亞食品,255964.0,153437,267939,66.82,-4.46,1972592,1878971,4.98
1702,南僑投控,1757656.0,1566253,1595351,12.22,10.17,18277081,17172886,6.42
1737,臺鹽,260449.0,222741,237611,16.92,9.61,3001462,2757075,8.86
1301,台塑,18133624.0,18533274,17870221,-2.15,1.47,230370027,206709755,11.44
1303,南亞塑膠,24809071.0,25374298,28043505,-2.22,-11.53,333058016,306139952,8.79
1304,台聚,4968846.0,5089877,5325861,-2.37,-6.70,60886628,58138749,4.72
1305,華夏,1271926.0,1324029,1498559,-3.93,-15.12,15192745,14701512,3.34
1307,三芳化工,697071.0,836558,707884,-16.67,-1.52,9492271,9855356,-3.68
1308,亞聚,621374.0,657106,473599,-5.43,31.20,6375122,6402910,-0.43
1309,台達化工,1714356.0,1648171,1847529,4.01,-7.20,21682478,19827168,9.35
1310,台苯,1080996.0,1114760,1302729,-3.02,-17.02,15382036,14746899,4.30
1312,國喬石化,1952956.0,1600655,2139805,22.00,-8.73,24749724,23357902,5.95
1313,聯成,6351502.0,5636577,5144530,12.68,23.46,61244785,50599924,21.03
1314,中石化,2350954.0,2938635,3386948,-19.99,-30.58,38503453,33336132,15.50
1315,達新工業,215506.0,209410,208367,2.91,3.42,2544233,2663384,-4.47
1321,大洋,440513.0,418121,435251,5.35,1.20,4769477,4468937,6.72
1323,永裕,300208.0,343015,299664,-12.47,0.18,3764616,3243080,16.08
1324,地球工業,92683.0,100342,119542,-7.63,-22.46,1137466,1227153,-7.30
1325,�琱j,88639.0,88320,67991,0.36,30.36,914449,865210,5.69
1326,台化,31908907.0,33592042,35534860,-5.01,-10.20,407859765,358421471,13.79
4306,炎洲,1498126.0,1598248,2560995,-6.26,-41.50,19848735,18972828,4.61
1402,遠東新,20191182.0,20407968,20202085,-1.06,-0.05,228468086,217825522,4.88
1409,新纖,3320620.0,3448039,3051035,-3.69,8.83,42660404,36635736,16.44
