公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,10903967.0,10596314,11539982,2.90,-5.51,46856612,46742616,0.24
1102,亞泥,8435765.0,8434811,7698165,0.01,9.58,36261181,31460310,15.26
1103,嘉泥,146479.0,160751,185856,-8.87,-21.18,759621,828000,-8.25
1104,環球水泥,421251.0,418992,426170,0.53,-1.15,2027540,1977280,2.54
1108,幸福水泥,305274.0,323834,294581,-5.73,3.62,1463455,1407947,3.94
1109,信大水泥,800417.0,753252,625561,6.26,27.95,2914103,2232150,30.55
1110,東泥,132249.0,118229,142543,11.85,-7.22,667517,672790,-0.78
1201,味全公司,1809938.0,1695994,1693716,6.71,6.86,8046332,7094306,13.41
1203,味王公司,531311.0,469207,526103,13.23,0.98,2502699,2464575,1.54
1210,大成長城,6390612.0,6424220,6115699,-0.52,4.49,31092939,28872829,7.68
1213,大飲,38938.0,28570,47299,36.28,-17.67,199906,233108,-14.24
1215,卜蜂企業,1768590.0,1739496,1845422,1.67,-4.16,8543383,8489469,0.63
1216,統一,38716214.0,36918812,37995651,4.86,1.89,183410899,177597582,3.27
1217,愛之味,318595.0,287677,316505,10.74,0.66,1602551,1597471,0.31
1218,泰山企業,645123.0,592778,714359,8.83,-9.69,3011356,3238846,-7.02
1219,福壽實業,1049658.0,1038477,1040713,1.07,0.85,5058542,4930870,2.58
1220,台榮,242992.0,209667,214200,15.89,13.44,1065942,990681,7.59
1225,福懋油,857478.0,889193,906043,-3.56,-5.36,4224441,4597836,-8.12
1227,佳格,2130222.0,1776586,1738673,19.90,22.51,11243974,10542228,6.65
1229,聯華實業,729961.0,616100,443093,18.48,64.74,2574715,2069765,24.39
1231,聯華食品,695419.0,642774,606265,8.19,14.70,3456263,3155534,9.53
1232,大統益,1406554.0,1328619,1426938,5.86,-1.42,6894446,6937135,-0.61
1233,天仁,191640.0,165999,195663,15.44,-2.05,926748,917109,1.05
1234,黑松,702807.0,618002,769606,13.72,-8.67,3466066,3752714,-7.63
1235,興泰,3028.0,2555,2691,18.51,12.52,10279,10774,-4.59
1236,宏亞食品,99992.0,123213,98968,-18.84,1.03,723154,792708,-8.77
1702,南僑投控,1556349.0,1479700,1578262,5.18,-1.38,7253485,7327718,-1.01
1737,臺鹽,260904.0,228226,340986,14.31,-23.48,1165178,1235634,-5.70
1301,台塑,19007532.0,19209008,22361241,-1.04,-14.99,91228616,96084506,-5.05
1303,南亞塑膠,24787501.0,25074397,30047319,-1.14,-17.50,120782017,140171490,-13.83
1304,台聚,5127061.0,4838177,5599285,5.97,-8.43,23453086,25289913,-7.26
1305,華夏,1645849.0,1322372,1360529,24.46,20.97,6195934,6536258,-5.20
1307,三芳化工,810708.0,892304,695464,-9.14,16.57,4331254,3805948,13.80
1308,亞聚,542154.0,622183,615776,-12.86,-11.95,2873942,2453526,17.13
1309,台達化工,1544984.0,1588471,2135878,-2.73,-27.66,7733446,8903276,-13.13
1310,台苯,1152782.0,1058511,1372041,8.90,-15.98,5148450,6669515,-22.80
1312,國喬石化,1903657.0,1880808,1813414,1.21,4.97,8790589,10062188,-12.63
1313,聯成,5234388.0,5712007,5812236,-8.36,-9.94,26323853,25230697,4.33
1314,中石化,2592197.0,2737182,3043541,-5.29,-14.82,13467410,15602344,-13.68
1315,達新工業,195678.0,153983,206606,27.07,-5.28,864876,937472,-7.74
1321,大洋,416766.0,399857,472755,4.22,-11.84,1859944,2048569,-9.20
1323,永裕,304514.0,311253,332325,-2.16,-8.36,1462058,1475902,-0.93
1324,地球工業,98271.0,99656,101081,-1.38,-2.77,488866,456087,7.18
1325,�琱j,77676.0,67408,81403,15.23,-4.57,340737,373442,-8.75
1326,台化,27148487.0,28942093,32644221,-6.19,-16.83,147523250,164718966,-10.43
4306,炎洲,1379260.0,1470182,1763157,-6.18,-21.77,6655348,8731830,-23.78
1402,遠東新,22998106.0,21737013,18475002,5.80,24.48,106633970,86915673,22.68
1409,新纖,3700502.0,3549872,3928361,4.24,-5.80,17100466,16653101,2.68
1410,南染,43565.0,33432,57751,30.30,-24.56,173346,224143,-22.66
1413,宏洲纖維,335144.0,294785,307897,13.69,8.84,1517702,1479743,2.56
1414,東和,90644.0,64024,96876,41.57,-6.43,365805,429568,-14.84
1416,廣豐,46756.0,19058,18808,145.33,148.59,121892,97136,25.48
1417,嘉裕,115889.0,108302,99104,7.00,16.93,597762,663699,-9.93
1418,東華,21933.0,22990,64554,-4.59,-66.02,127126,277244,-54.14
1419,新紡,179713.0,146762,136606,22.45,31.55,730952,619806,17.93
1423,利華羊毛,50847.0,63594,87834,-20.04,-42.11,226541,363585,-37.69
1434,福懋興業,4291437.0,4285409,4089179,0.14,4.94,20295694,18691657,8.58
1439,中和羊毛,15025.0,17363,31176,-13.46,-51.80,87840,122604,-28.35
1440,南紡,2022479.0,1972090,2440906,2.55,-17.14,9759956,10318242,-5.41
1441,大東紡織,128569.0,131661,158496,-2.34,-18.88,637461,730830,-12.77
