公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,10436223.0,10707234,8071192,-2.53,29.30,89657355,68952078,30.02
1102,亞泥,7703807.0,7180291,5806573,7.29,32.67,60915612,45349036,34.32
1103,嘉泥,166209.0,173642,177734,-4.28,-6.48,1495207,1565228,-4.47
1104,環球水泥,415742.0,354949,403016,17.12,3.15,3436442,3287855,4.51
1108,幸福水泥,256381.0,255469,267312,0.35,-4.08,2460423,2592961,-5.11
1109,信大水泥,690788.0,598648,521034,15.39,32.58,4717018,3743408,26.00
1110,東泥,127730.0,98994,232565,29.02,-45.07,1176164,1141614,3.02
1201,味全公司,1857221.0,1927383,1685062,-3.64,10.21,14499289,13169331,10.09
1203,味王公司,520954.0,571897,543886,-8.90,-4.21,4532511,4644469,-2.41
1210,大成長城,6405654.0,6280981,7052418,1.98,-9.17,53543698,56299744,-4.89
1213,大飲,36194.0,85863,61395,-57.84,-41.04,501647,535991,-6.40
1215,卜蜂企業,1769540.0,1918613,1700740,-7.76,4.04,15807059,14759528,7.09
1216,統一,37539418.0,39945627,35792013,-6.02,4.88,330259197,305038391,8.26
1217,愛之味,417077.0,668101,456849,-37.57,-8.70,3538846,3371911,4.95
1218,泰山企業,736565.0,795209,702927,-7.37,4.78,6170527,5920846,4.21
1219,福壽實業,934908.0,981360,905236,-4.73,3.27,8714185,8017586,8.68
1220,台榮,238953.0,273493,196312,-12.62,21.72,1942586,1699828,14.28
1225,福懋油,937936.0,985283,884524,-4.80,6.03,8344865,7970121,4.70
1227,佳格,3032428.0,2232603,3096087,35.82,-2.05,19494272,19370722,0.63
1229,聯華實業,409979.0,434439,400660,-5.63,2.32,3766018,3545619,6.21
1231,聯華食品,680585.0,780853,566665,-12.84,20.10,5993552,5312642,12.81
1232,大統益,1300638.0,1441081,1411977,-9.74,-7.88,12555938,12700093,-1.13
1233,天仁,200800.0,196867,186498,1.99,7.66,1662666,1609187,3.32
1234,黑松,766929.0,969168,805520,-20.86,-4.79,7003695,7046324,-0.60
1235,興泰,5225.0,27967,25839,-81.31,-79.77,49973,63718,-21.57
1236,宏亞食品,178724.0,164105,233746,8.90,-23.53,1410715,1290395,9.32
1702,南僑投控,1551978.0,1560429,1774214,-0.54,-12.52,13497388,12554918,7.50
1737,臺鹽,231095.0,265445,264766,-12.94,-12.71,2267293,2091835,8.38
1301,台塑,18080414.0,19797535,17594800,-8.67,2.75,174017580,153641840,13.26
1303,南亞塑膠,28593061.0,29664186,26587765,-3.61,7.54,255361902,224643255,13.67
1304,台聚,4880457.0,5093455,5279293,-4.18,-7.55,45638260,42853710,6.49
1305,華夏,1053448.0,1133349,1184397,-7.04,-11.05,11298629,10927985,3.39
1307,三芳化工,834841.0,893616,896942,-6.57,-6.92,7067393,7653066,-7.65
1308,亞聚,480267.0,525019,585591,-8.52,-17.98,4488915,4806902,-6.61
1309,台達化工,1859668.0,1924519,2007684,-3.36,-7.37,16584422,14348104,15.58
1310,台苯,1442057.0,1294233,1321553,11.42,9.11,11981407,10946731,9.45
1312,國喬石化,2075519.0,2311477,2064839,-10.20,0.51,19028806,17075142,11.44
1313,聯成,4725952.0,4977365,4657393,-5.05,1.47,44025431,36151734,21.77
1314,中石化,3659375.0,3622886,2368886,1.00,54.47,29910753,24389066,22.64
1315,達新工業,204765.0,265681,215116,-22.92,-4.81,1910282,2080042,-8.16
1321,大洋,284111.0,413740,417033,-31.33,-31.87,3529870,3295621,7.10
1323,永裕,328161.0,319818,300731,2.60,9.12,2785951,2359396,18.07
1324,地球工業,83503.0,102001,107845,-18.13,-22.57,847465,886308,-4.38
1325,�琱j,75146.0,81972,74969,-8.32,0.23,663339,648356,2.31
1326,台化,36939138.0,36401692,29617886,1.47,24.71,306288815,259629849,17.97
4306,炎洲,1685426.0,1755164,1719629,-3.97,-1.98,15156377,13191421,14.89
1402,遠東新,21467242.0,20938571,19051418,2.52,12.68,167186384,159662855,4.71
1409,新纖,3784347.0,3866882,3309765,-2.13,14.33,32274109,27102831,19.08
1410,南染,36350.0,42748,43789,-14.96,-16.98,387468,406151,-4.60
1413,宏洲纖維,325589.0,303730,228963,7.19,42.20,2717076,2338737,16.17
1414,東和,75669.0,83006,43260,-8.83,74.91,744635,574969,29.50
1416,廣豐,48653.0,23718,30358,105.13,60.26,212640,2149874,-90.10
1417,嘉裕,101137.0,84836,124841,19.21,-18.98,1072834,1565536,-31.47
1418,東華,38783.0,23738,109209,63.37,-64.48,574598,1233800,-53.42
1419,新紡,153430.0,153048,133261,0.24,15.13,1132303,1018037,11.22
1423,利華羊毛,59975.0,56376,49491,6.38,21.18,594754,426006,39.61
1434,福懋興業,3774128.0,3878122,3340026,-2.68,12.99,33804379,30929414,9.29
1439,中和羊毛,33552.0,12818,17821,161.75,88.27,208223,189381,9.94
1440,南紡,2016456.0,2222815,1791643,-9.28,12.54,18818250,15517426,21.27
1441,大東紡織,114677.0,134285,143939,-14.60,-20.32,1209256,1227238,-1.46
1443,立益紡織,78431.0,95132,102371,-17.55,-23.38,892603,884766,0.88
1444,力麗,1014598.0,1135244,1018848,-10.62,-0.41,9392293,8198476,14.56
1445,大宇紡織,120959.0,130091,130604,-7.01,-7.38,1192414,1189512,0.24
1446,宏和,40694.0,46418,51619,-12.33,-21.16,340788,404122,-15.67
1447,力鵬,1584835.0,1507242,1399184,5.14,13.26,14013230,12045492,16.33
1449,佳和實業,203454.0,225322,225548,-9.70,-9.79,1810323,2008840,-9.88
1451,年興紡織,863300.0,767244,774417,12.51,11.47,6436106,7087419,-9.18
1452,宏益,165268.0,238247,142839,-30.63,15.70,1610675,1603371,0.45
1453,大將,1795.0,2130,1139,-15.72,57.59,27615,55234,-50.00
1454,台富,153128.0,172731,151414,-11.34,1.13,1458400,1400352,4.14
1455,集盛,1313573.0,1301144,1262067,0.95,4.08,12015866,10969751,9.53
1456,怡華,48022.0,27796,50775,72.76,-5.42,358158,574716,-37.68
1457,宜進,505552.0,496673,412032,1.78,22.69,4238162,3743096,13.22
1459,聯發紡織,261791.0,328243,284838,-20.24,-8.09,2652455,2459003,7.86
1460,宏遠,869240.0,774710,819349,12.20,6.08,6754887,6194580,9.04
1463,強盛染整,80955.0,72017,118935,12.41,-31.93,806657,1614845,-50.04
1464,得力實業,818567.0,807648,700371,1.35,16.87,6559188,5598074,17.16
1465,偉全實業,168417.0,181608,159731,-7.26,5.43,1316520,1399237,-5.91
1466,聚隆,408385.0,398044,325808,2.59,25.34,3156033,2960197,6.61
1467,南緯實業,699410.0,645136,734282,8.41,-4.74,5396946,5336882,1.12
1468,昶和纖維,72269.0,92379,42681,-21.76,69.32,692253,468275,47.83
1470,大統新創,63650.0,66916,61865,-4.88,2.88,563486,529164,6.48
1472,三洋紡,50234.0,59429,71079,-15.47,-29.32,475365,530589,-10.40
1473,台南企業,703900.0,896058,770190,-21.44,-8.60,6677980,6482976,3.00
1474,弘裕,284759.0,340168,300176,-16.28,-5.13,2718595,2442822,11.28
1475,本盟光電,5267.0,4738,9986,11.16,-47.25,43411,106558,-59.26
1476,儒鴻,2185499.0,1958596,2083245,11.58,4.90,20021432,17191775,16.45
1477,聚陽實業,3137792.0,2118330,2550600,48.12,23.02,17825889,17140336,3.99
4414,如興,1742213.0,1723612,1340888,1.07,29.92,13306393,5026535,164.72
4426,利勤實業,181106.0,183945,150951,-1.54,19.97,1566296,1479920,5.83
4438,廣越,2234243.0,2203864,1988708,1.37,12.34,10245005,7597892,34.84
1503,士電,2162647.0,2068933,1920479,4.52,12.60,18382798,16233309,13.24
1504,東元電機,4187038.0,4081151,4385380,2.59,-4.52,37587212,37992592,-1.06
1506,正道,94606.0,92547,107568,2.22,-12.05,913357,1012431,-9.78
1507,永大機電,1243219.0,1073918,1339893,15.76,-7.21,11437656,13060476,-12.42
1513,中興電,1772288.0,881866,828999,100.97,113.78,8977567,7979522,12.50
1514,亞力電機,320545.0,316606,401396,1.24,-20.14,2957596,2507358,17.95
1515,力山,572481.0,538251,667762,6.35,-14.26,3530149,3581067,-1.42
1517,利奇機械,233730.0,280480,235827,-16.66,-0.88,2201518,2105601,4.55
1519,華城電機,617386.0,741383,443900,-16.72,39.08,4187752,3768631,11.12
1526,日馳,94290.0,106393,132940,-11.37,-29.07,908207,950027,-4.40
1527,鑽全,297283.0,412294,286585,-27.89,3.73,2855489,2939882,-2.87
1528,恩德,409880.0,388553,399825,5.48,2.51,3784433,3238892,16.84
1529,樂士,44321.0,14195,49797,212.22,-10.99,174641,263689,-33.77
1530,亞崴機電,399121.0,384946,377903,3.68,5.61,3617106,3120050,15.93
1531,高林股,216247.0,248191,181210,-12.87,19.33,1990342,1654253,20.31
1532,勤美,2556336.0,2093275,1227688,22.12,108.22,13149948,11269078,16.69
1535,中宇,863369.0,745792,951803,15.76,-9.29,7597194,6330496,20.00
1537,廣隆光電,714946.0,741562,674950,-3.58,5.92,6378844,5681768,12.26
1538,正峰新,35144.0,33541,43271,4.77,-18.78,318616,493939,-35.49
1539,巨庭機械,237233.0,240517,270982,-1.36,-12.45,2088919,2180151,-4.18
1540,喬福機械,65927.0,67377,44324,-2.15,48.73,418325,451364,-7.31
1541,錩泰,292025.0,379473,340597,-23.04,-14.26,2712288,2689607,0.84
